#    L    TT             EE             BB             TE          
   157   0.458563E+04   0.105232E+01   0.839433E-02  -0.454539E+02
   158   0.461663E+04   0.104473E+01   0.851232E-02  -0.453061E+02
   159   0.464734E+04   0.103669E+01   0.863140E-02  -0.451328E+02
   160   0.467781E+04   0.102836E+01   0.875156E-02  -0.449323E+02
   161   0.470806E+04   0.101980E+01   0.887281E-02  -0.447062E+02
   162   0.473800E+04   0.101087E+01   0.899514E-02  -0.444544E+02
   163   0.476779E+04   0.100164E+01   0.911856E-02  -0.441756E+02
   164   0.479712E+04   0.992198E+00   0.924307E-02  -0.438710E+02
   165   0.482629E+04   0.982459E+00   0.936866E-02  -0.435386E+02
   166   0.485514E+04   0.972575E+00   0.949535E-02  -0.431798E+02
   167   0.488376E+04   0.962325E+00   0.962311E-02  -0.427952E+02
   168   0.491192E+04   0.952080E+00   0.975196E-02  -0.423828E+02
   169   0.493977E+04   0.941544E+00   0.988189E-02  -0.419424E+02
   170   0.496729E+04   0.930941E+00   0.100129E-01  -0.414755E+02
   171   0.499436E+04   0.920271E+00   0.101450E-01  -0.409800E+02
   172   0.502103E+04   0.909462E+00   0.102781E-01  -0.404572E+02
   173   0.504723E+04   0.898513E+00   0.104124E-01  -0.399072E+02
   174   0.507310E+04   0.887723E+00   0.105476E-01  -0.393300E+02
   175   0.509858E+04   0.876795E+00   0.106840E-01  -0.387247E+02
   176   0.512352E+04   0.865952E+00   0.108214E-01  -0.380915E+02
   177   0.514805E+04   0.855121E+00   0.109598E-01  -0.374317E+02
   178   0.517212E+04   0.844526E+00   0.110993E-01  -0.367440E+02
   179   0.519571E+04   0.833869E+00   0.112398E-01  -0.360283E+02
   180   0.521898E+04   0.823373E+00   0.113813E-01  -0.352861E+02
   181   0.524171E+04   0.813040E+00   0.115238E-01  -0.345174E+02
   182   0.526397E+04   0.802944E+00   0.116674E-01  -0.337208E+02
   183   0.528568E+04   0.793010E+00   0.118119E-01  -0.328977E+02
   184   0.530701E+04   0.783314E+00   0.119575E-01  -0.320474E+02
   185   0.532786E+04   0.774005E+00   0.121040E-01  -0.311721E+02
   186   0.534788E+04   0.764942E+00   0.122515E-01  -0.302689E+02
   187   0.536773E+04   0.756265E+00   0.123999E-01  -0.293393E+02
   188   0.538704E+04   0.747962E+00   0.125493E-01  -0.283848E+02
   189   0.540574E+04   0.740069E+00   0.126997E-01  -0.274039E+02
   190   0.542427E+04   0.732638E+00   0.128509E-01  -0.263987E+02
   191   0.544189E+04   0.725693E+00   0.130031E-01  -0.253665E+02
   192   0.545912E+04   0.719256E+00   0.131562E-01  -0.243093E+02
   193   0.547575E+04   0.713371E+00   0.133103E-01  -0.232287E+02
   194   0.549198E+04   0.708069E+00   0.134652E-01  -0.221225E+02
   195   0.550761E+04   0.703387E+00   0.136209E-01  -0.209929E+02
   196   0.552263E+04   0.699363E+00   0.137776E-01  -0.198392E+02
   197   0.553719E+04   0.696041E+00   0.139351E-01  -0.186628E+02
   198   0.555122E+04   0.693445E+00   0.140934E-01  -0.174631E+02
   199   0.556472E+04   0.691610E+00   0.142526E-01  -0.162407E+02
   200   0.557768E+04   0.690568E+00   0.144126E-01  -0.149965E+02
