#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.278433E+00   0.682792E+06   0.679604E+06   0.429127E+00  -0.220336E+00   0.000000E+00   0.682299E+06   0.682299E+06   0.682299E+06  -0.162170E-01   0.357710E+06   0.357703E+06   0.842877E-02
   0.283796E+00   0.661954E+06   0.658759E+06   0.400445E+00  -0.205611E+00   0.000000E+00   0.661460E+06   0.661460E+06   0.661460E+06  -0.157217E-01   0.346785E+06   0.346778E+06   0.819554E-02
   0.289158E+00   0.642543E+06   0.639371E+06   0.374412E+00  -0.192244E+00   0.000000E+00   0.642052E+06   0.642052E+06   0.642052E+06  -0.152604E-01   0.336610E+06   0.336604E+06   0.791684E-02
   0.294521E+00   0.624860E+06   0.621751E+06   0.350967E+00  -0.180207E+00   0.000000E+00   0.624379E+06   0.624379E+06   0.624379E+06  -0.148404E-01   0.327345E+06   0.327338E+06   0.758485E-02
   0.299884E+00   0.608890E+06   0.605882E+06   0.329877E+00  -0.169377E+00   0.000000E+00   0.608425E+06   0.608425E+06   0.608425E+06  -0.144612E-01   0.318980E+06   0.318974E+06   0.721106E-02
   0.305246E+00   0.594336E+06   0.591453E+06   0.310782E+00  -0.159573E+00   0.000000E+00   0.593890E+06   0.593890E+06   0.593890E+06  -0.141157E-01   0.311360E+06   0.311354E+06   0.681944E-02
   0.310609E+00   0.580777E+06   0.578028E+06   0.293302E+00  -0.150597E+00   0.000000E+00   0.580352E+06   0.580352E+06   0.580352E+06  -0.137939E-01   0.304262E+06   0.304256E+06   0.643807E-02
   0.315972E+00   0.567794E+06   0.565169E+06   0.277100E+00  -0.142277E+00   0.000000E+00   0.567388E+06   0.567388E+06   0.567388E+06  -0.134858E-01   0.297466E+06   0.297460E+06   0.609132E-02
   0.321334E+00   0.555025E+06   0.552503E+06   0.261906E+00  -0.134475E+00   0.000000E+00   0.554635E+06   0.554635E+06   0.554635E+06  -0.131827E-01   0.290780E+06   0.290774E+06   0.579411E-02
   0.326697E+00   0.542224E+06   0.539777E+06   0.247536E+00  -0.127097E+00   0.000000E+00   0.541845E+06   0.541845E+06   0.541845E+06  -0.128787E-01   0.284074E+06   0.284069E+06   0.554990E-02
   0.332060E+00   0.529321E+06   0.526924E+06   0.233903E+00  -0.120097E+00   0.000000E+00   0.528950E+06   0.528950E+06   0.528950E+06  -0.125722E-01   0.277314E+06   0.277309E+06   0.535202E-02
   0.337423E+00   0.516425E+06   0.514057E+06   0.221006E+00  -0.113475E+00   0.000000E+00   0.516058E+06   0.516058E+06   0.516058E+06  -0.122658E-01   0.270555E+06   0.270550E+06   0.518704E-02
   0.342785E+00   0.503737E+06   0.501389E+06   0.208881E+00  -0.107250E+00   0.000000E+00   0.503374E+06   0.503374E+06   0.503374E+06  -0.119643E-01   0.263905E+06   0.263900E+06   0.503895E-02
   0.348148E+00   0.491471E+06   0.489142E+06   0.197562E+00  -0.101439E+00   0.000000E+00   0.491110E+06   0.491110E+06   0.491110E+06  -0.116728E-01   0.257476E+06   0.257471E+06   0.489329E-02
   0.353511E+00   0.479796E+06   0.477496E+06   0.187060E+00  -0.960468E-01   0.000000E+00   0.479440E+06   0.479440E+06   0.479440E+06  -0.113954E-01   0.251358E+06   0.251352E+06   0.474016E-02
   0.358873E+00   0.468821E+06   0.466561E+06   0.177359E+00  -0.910655E-01   0.000000E+00   0.468471E+06   0.468471E+06   0.468471E+06  -0.111347E-01   0.245607E+06   0.245602E+06   0.457567E-02
   0.364236E+00   0.458558E+06   0.456352E+06   0.168406E+00  -0.864686E-01   0.000000E+00   0.458217E+06   0.458217E+06   0.458217E+06  -0.108910E-01   0.240230E+06   0.240226E+06   0.440149E-02
   0.369599E+00   0.448930E+06   0.446786E+06   0.160121E+00  -0.822147E-01   0.000000E+00   0.448598E+06   0.448598E+06   0.448598E+06  -0.106624E-01   0.235188E+06   0.235183E+06   0.422323E-02
   0.374961E+00   0.439799E+06   0.437721E+06   0.152411E+00  -0.782557E-01   0.000000E+00   0.439478E+06   0.439478E+06   0.439478E+06  -0.104456E-01   0.230406E+06   0.230402E+06   0.404822E-02
   0.380324E+00   0.431021E+06   0.429006E+06   0.145187E+00  -0.745467E-01   0.000000E+00   0.430709E+06   0.430709E+06   0.430709E+06  -0.102372E-01   0.225809E+06   0.225804E+06   0.388342E-02
   0.385687E+00   0.422466E+06   0.420509E+06   0.138377E+00  -0.710498E-01   0.000000E+00   0.422164E+06   0.422164E+06   0.422164E+06  -0.100341E-01   0.221329E+06   0.221324E+06   0.373369E-02
   0.391049E+00   0.414038E+06   0.412128E+06   0.131923E+00  -0.677358E-01   0.000000E+00   0.413743E+06   0.413743E+06   0.413743E+06  -0.983393E-02   0.216914E+06   0.216910E+06   0.360085E-02
   0.396412E+00   0.405685E+06   0.403813E+06   0.125788E+00  -0.645857E-01   0.000000E+00   0.405396E+06   0.405396E+06   0.405396E+06  -0.963553E-02   0.212538E+06   0.212534E+06   0.348378E-02
   0.401775E+00   0.397419E+06   0.395577E+06   0.119957E+00  -0.615918E-01   0.000000E+00   0.397134E+06   0.397134E+06   0.397134E+06  -0.943916E-02   0.208206E+06   0.208202E+06   0.337919E-02
   0.407137E+00   0.389302E+06   0.387486E+06   0.114431E+00  -0.587547E-01   0.000000E+00   0.389021E+06   0.389021E+06   0.389021E+06  -0.924634E-02   0.203953E+06   0.203949E+06   0.328280E-02
   0.412500E+00   0.381409E+06   0.379617E+06   0.109214E+00  -0.560763E-01   0.000000E+00   0.381132E+06   0.381132E+06   0.381132E+06  -0.905883E-02   0.199817E+06   0.199813E+06   0.319037E-02
