#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   147   0.427737E+04  -0.458527E+02   0.235488E-03  -0.458527E+02   0.110256E+01  -0.210697E-06   0.235488E-03  -0.210697E-06   0.817443E-07
   148   0.431038E+04  -0.459510E+02   0.233368E-03  -0.459510E+02   0.109875E+01  -0.159707E-06   0.233368E-03  -0.159707E-06   0.812664E-07
   149   0.434333E+04  -0.460258E+02   0.231268E-03  -0.460258E+02   0.109448E+01  -0.113721E-06   0.231268E-03  -0.113721E-06   0.807924E-07
   150   0.437598E+04  -0.460750E+02   0.229184E-03  -0.460750E+02   0.108983E+01  -0.736071E-07   0.229184E-03  -0.736071E-07   0.803221E-07
   151   0.440850E+04  -0.461016E+02   0.227115E-03  -0.461016E+02   0.108471E+01  -0.400254E-07   0.227115E-03  -0.400254E-07   0.798556E-07
   152   0.444072E+04  -0.461039E+02   0.225061E-03  -0.461039E+02   0.107907E+01  -0.127938E-07   0.225061E-03  -0.127938E-07   0.793929E-07
   153   0.447281E+04  -0.460800E+02   0.223021E-03  -0.460800E+02   0.107304E+01   0.847961E-08   0.223021E-03   0.847961E-08   0.789338E-07
   154   0.450467E+04  -0.460318E+02   0.220996E-03  -0.460318E+02   0.106663E+01   0.241872E-07   0.220996E-03   0.241872E-07   0.784785E-07
   155   0.453632E+04  -0.459587E+02   0.218987E-03  -0.459587E+02   0.105983E+01   0.347211E-07   0.218987E-03   0.347211E-07   0.780269E-07
   156   0.456760E+04  -0.458607E+02   0.216994E-03  -0.458607E+02   0.105266E+01   0.404736E-07   0.216994E-03   0.404736E-07   0.775789E-07
   157   0.459880E+04  -0.457363E+02   0.215017E-03  -0.457363E+02   0.104510E+01   0.418368E-07   0.215017E-03   0.418368E-07   0.771345E-07
   158   0.462971E+04  -0.455862E+02   0.213057E-03  -0.455862E+02   0.103724E+01   0.392030E-07   0.213057E-03   0.392030E-07   0.766937E-07
   159   0.466033E+04  -0.454104E+02   0.211113E-03  -0.454104E+02   0.102893E+01   0.329643E-07   0.211113E-03   0.329643E-07   0.762565E-07
   160   0.469072E+04  -0.452074E+02   0.209187E-03  -0.452074E+02   0.102031E+01   0.235129E-07   0.209187E-03   0.235129E-07   0.758229E-07
   161   0.472088E+04  -0.449786E+02   0.207279E-03  -0.449786E+02   0.101147E+01   0.112410E-07   0.207279E-03   0.112410E-07   0.753928E-07
   162   0.475075E+04  -0.447242E+02   0.205388E-03  -0.447242E+02   0.100225E+01  -0.345908E-08   0.205388E-03  -0.345908E-08   0.749662E-07
