#    L    TT             EE             TE             PP             TP          
    98   0.263358E+04   0.745554E+00  -0.218753E+02   0.503461E+07   0.675997E+04
    99   0.266441E+04   0.760423E+00  -0.225333E+02   0.500451E+07   0.667781E+04
   100   0.269553E+04   0.775139E+00  -0.231902E+02   0.497453E+07   0.659681E+04
   101   0.272681E+04   0.789763E+00  -0.238492E+02   0.494469E+07   0.651696E+04
   102   0.275861E+04   0.804150E+00  -0.245080E+02   0.491499E+07   0.643825E+04
   103   0.279034E+04   0.818378E+00  -0.251676E+02   0.488543E+07   0.636067E+04
   104   0.282230E+04   0.832450E+00  -0.258250E+02   0.485602E+07   0.628423E+04
   105   0.285441E+04   0.846295E+00  -0.264818E+02   0.482675E+07   0.620891E+04
   106   0.288675E+04   0.859990E+00  -0.271375E+02   0.479764E+07   0.613471E+04
   107   0.291903E+04   0.873390E+00  -0.277905E+02   0.476869E+07   0.606162E+04
   108   0.295169E+04   0.886573E+00  -0.284419E+02   0.473990E+07   0.598964E+04
   109   0.298450E+04   0.899466E+00  -0.290901E+02   0.471127E+07   0.591876E+04
   110   0.301740E+04   0.912074E+00  -0.297338E+02   0.468281E+07   0.584897E+04
   111   0.305045E+04   0.924473E+00  -0.303746E+02   0.465452E+07   0.578028E+04
   112   0.308366E+04   0.936588E+00  -0.310116E+02   0.462641E+07   0.571267E+04
   113   0.311710E+04   0.948418E+00  -0.316434E+02   0.459846E+07   0.564615E+04
   114   0.315063E+04   0.959887E+00  -0.322689E+02   0.457070E+07   0.558071E+04
   115   0.318438E+04   0.971142E+00  -0.328883E+02   0.454310E+07   0.551635E+04
   116   0.321813E+04   0.981959E+00  -0.335006E+02   0.451568E+07   0.545308E+04
   117   0.325219E+04   0.992411E+00  -0.341050E+02   0.448844E+07   0.539088E+04
   118   0.328639E+04   0.100265E+01  -0.347022E+02   0.446137E+07   0.532976E+04
   119   0.332059E+04   0.101251E+01  -0.352898E+02   0.443449E+07   0.526972E+04
