#    L    TT             EE             BB             TE             PP             TP             EP          
    81   0.214274E+04   0.481674E+00   0.000000E+00  -0.112681E+02   0.122172E-06   0.499389E-03  -0.164585E-05
    82   0.216971E+04   0.497082E+00   0.000000E+00  -0.118432E+02   0.121447E-06   0.492212E-03  -0.169649E-05
    83   0.219692E+04   0.512585E+00   0.000000E+00  -0.124270E+02   0.120723E-06   0.485328E-03  -0.171087E-05
    84   0.222444E+04   0.528175E+00   0.000000E+00  -0.130177E+02   0.120000E-06   0.478709E-03  -0.169389E-05
    85   0.225213E+04   0.543822E+00   0.000000E+00  -0.136166E+02   0.119279E-06   0.472329E-03  -0.165045E-05
    86   0.228005E+04   0.559533E+00   0.000000E+00  -0.142228E+02   0.118560E-06   0.466160E-03  -0.158541E-05
    87   0.230842E+04   0.575272E+00   0.000000E+00  -0.148353E+02   0.117842E-06   0.460175E-03  -0.150365E-05
    88   0.233680E+04   0.591044E+00   0.000000E+00  -0.154539E+02   0.117127E-06   0.454347E-03  -0.141006E-05
    89   0.236555E+04   0.606828E+00   0.000000E+00  -0.160799E+02   0.116414E-06   0.448648E-03  -0.130949E-05
    90   0.239453E+04   0.622579E+00   0.000000E+00  -0.167100E+02   0.115705E-06   0.443052E-03  -0.120682E-05
    91   0.242364E+04   0.638284E+00   0.000000E+00  -0.173449E+02   0.114998E-06   0.437536E-03  -0.110615E-05
    92   0.245306E+04   0.653928E+00   0.000000E+00  -0.179838E+02   0.114295E-06   0.432095E-03  -0.100856E-05
    93   0.248277E+04   0.669508E+00   0.000000E+00  -0.186270E+02   0.113594E-06   0.426728E-03  -0.914368E-06
    94   0.251255E+04   0.684990E+00   0.000000E+00  -0.192729E+02   0.112897E-06   0.421435E-03  -0.823897E-06
    95   0.254263E+04   0.700377E+00   0.000000E+00  -0.199224E+02   0.112203E-06   0.416216E-03  -0.737468E-06
    96   0.257270E+04   0.715657E+00   0.000000E+00  -0.205750E+02   0.111513E-06   0.411069E-03  -0.655404E-06
    97   0.260323E+04   0.730819E+00   0.000000E+00  -0.212299E+02   0.110826E-06   0.405995E-03  -0.578025E-06
    98   0.263398E+04   0.745857E+00   0.000000E+00  -0.218850E+02   0.110143E-06   0.400993E-03  -0.505653E-06
    99   0.266480E+04   0.760740E+00   0.000000E+00  -0.225434E+02   0.109463E-06   0.396062E-03  -0.438609E-06
   100   0.269592E+04   0.775468E+00   0.000000E+00  -0.232008E+02   0.108786E-06   0.391203E-03  -0.377215E-06
   101   0.272720E+04   0.790106E+00   0.000000E+00  -0.238601E+02   0.108114E-06   0.386414E-03  -0.321790E-06
   102   0.275900E+04   0.804507E+00   0.000000E+00  -0.245194E+02   0.107445E-06   0.381695E-03  -0.272656E-06
   103   0.279073E+04   0.818749E+00   0.000000E+00  -0.251794E+02   0.106779E-06   0.377046E-03  -0.230135E-06
   104   0.282269E+04   0.832836E+00   0.000000E+00  -0.258373E+02   0.106118E-06   0.372466E-03  -0.194546E-06
   105   0.285480E+04   0.846695E+00   0.000000E+00  -0.264946E+02   0.105460E-06   0.367955E-03  -0.166211E-06
   106   0.288714E+04   0.860406E+00   0.000000E+00  -0.271508E+02   0.104807E-06   0.363512E-03  -0.145451E-06
