#    L    TT             EE             TE             PP             TP          
   114   0.313199E+04   0.956324E+00  -0.320424E+02   0.459163E+07   0.556807E+04
   115   0.316547E+04   0.967565E+00  -0.326582E+02   0.456407E+07   0.550431E+04
   116   0.319897E+04   0.978370E+00  -0.332670E+02   0.453667E+07   0.544157E+04
   117   0.323277E+04   0.988811E+00  -0.338681E+02   0.450946E+07   0.537987E+04
   118   0.326673E+04   0.999036E+00  -0.344620E+02   0.448242E+07   0.531921E+04
   119   0.330070E+04   0.100890E+01  -0.350465E+02   0.445556E+07   0.525957E+04
   120   0.333482E+04   0.101824E+01  -0.356216E+02   0.442888E+07   0.520098E+04
   121   0.336895E+04   0.102736E+01  -0.361870E+02   0.440238E+07   0.514343E+04
   122   0.340316E+04   0.103597E+01  -0.367421E+02   0.437606E+07   0.508693E+04
   123   0.343745E+04   0.104412E+01  -0.372868E+02   0.434991E+07   0.503147E+04
   124   0.347182E+04   0.105191E+01  -0.378180E+02   0.432395E+07   0.497706E+04
   125   0.350620E+04   0.105925E+01  -0.383378E+02   0.429817E+07   0.492370E+04
   126   0.354066E+04   0.106621E+01  -0.388455E+02   0.427257E+07   0.487140E+04
   127   0.357512E+04   0.107264E+01  -0.393402E+02   0.424715E+07   0.482016E+04
   128   0.360958E+04   0.107870E+01  -0.398212E+02   0.422192E+07   0.476997E+04
   129   0.364412E+04   0.108423E+01  -0.402876E+02   0.419687E+07   0.472085E+04
   130   0.367866E+04   0.108923E+01  -0.407385E+02   0.417201E+07   0.467279E+04
   131   0.371321E+04   0.109385E+01  -0.411755E+02   0.414733E+07   0.462579E+04
   132   0.374783E+04   0.109794E+01  -0.415956E+02   0.412284E+07   0.457982E+04
   133   0.378238E+04   0.110157E+01  -0.420010E+02   0.409853E+07   0.453483E+04
   134   0.381694E+04   0.110474E+01  -0.423872E+02   0.407440E+07   0.449078E+04
   135   0.385150E+04   0.110739E+01  -0.427573E+02   0.405046E+07   0.444762E+04
   136   0.388591E+04   0.110950E+01  -0.431076E+02   0.402669E+07   0.440532E+04
   137   0.392033E+04   0.111115E+01  -0.434402E+02   0.400310E+07   0.436384E+04
   138   0.395468E+04   0.111228E+01  -0.437538E+02   0.397969E+07   0.432312E+04
   139   0.398881E+04   0.111302E+01  -0.440476E+02   0.395646E+07   0.428314E+04
   140   0.402303E+04   0.111315E+01  -0.443224E+02   0.393341E+07   0.424383E+04
   141   0.405702E+04   0.111276E+01  -0.445759E+02   0.391053E+07   0.420517E+04
   142   0.409102E+04   0.111190E+01  -0.448089E+02   0.388783E+07   0.416711E+04
   143   0.412496E+04   0.111059E+01  -0.450215E+02   0.386530E+07   0.412961E+04
   144   0.415868E+04   0.110875E+01  -0.452129E+02   0.384294E+07   0.409263E+04
   145   0.419226E+04   0.110652E+01  -0.453823E+02   0.382075E+07   0.405611E+04
   146   0.422592E+04   0.110368E+01  -0.455299E+02   0.379873E+07   0.402003E+04
   147   0.425922E+04   0.110047E+01  -0.456541E+02   0.377689E+07   0.398434E+04
   148   0.429238E+04   0.109672E+01  -0.457564E+02   0.375521E+07   0.394899E+04
   149   0.432548E+04   0.109251E+01  -0.458354E+02   0.373369E+07   0.391394E+04
   150   0.435829E+04   0.108792E+01  -0.458889E+02   0.371235E+07   0.387916E+04
   151   0.439096E+04   0.108287E+01  -0.459198E+02   0.369117E+07   0.384460E+04
   152   0.442334E+04   0.107729E+01  -0.459266E+02   0.367015E+07   0.381027E+04
   153   0.445558E+04   0.107132E+01  -0.459072E+02   0.364930E+07   0.377617E+04
   154   0.448760E+04   0.106498E+01  -0.458636E+02   0.362861E+07   0.374230E+04
   155   0.451941E+04   0.105825E+01  -0.457952E+02   0.360808E+07   0.370868E+04
   156   0.455085E+04   0.105114E+01  -0.457020E+02   0.358771E+07   0.367532E+04
   157   0.458221E+04   0.104365E+01  -0.455824E+02   0.356751E+07   0.364220E+04
   158   0.461328E+04   0.103586E+01  -0.454372E+02   0.354746E+07   0.360935E+04
   159   0.464405E+04   0.102762E+01  -0.452663E+02   0.352757E+07   0.357677E+04
   160   0.467459E+04   0.101907E+01  -0.450684E+02   0.350783E+07   0.354447E+04
   161   0.470491E+04   0.101029E+01  -0.448447E+02   0.348825E+07   0.351245E+04
   162   0.473493E+04   0.100114E+01  -0.445954E+02   0.346883E+07   0.348072E+04
   163   0.476479E+04   0.991683E+00  -0.443189E+02   0.344956E+07   0.344928E+04
   164   0.479419E+04   0.982003E+00  -0.440167E+02   0.343044E+07   0.341814E+04
   165   0.482344E+04   0.972023E+00  -0.436865E+02   0.341148E+07   0.338732E+04
   166   0.485238E+04   0.961892E+00  -0.433299E+02   0.339267E+07   0.335680E+04
   167   0.488109E+04   0.951388E+00  -0.429475E+02   0.337400E+07   0.332661E+04
   168   0.490933E+04   0.940884E+00  -0.425372E+02   0.335549E+07   0.329675E+04
   169   0.493726E+04   0.930083E+00  -0.420988E+02   0.333712E+07   0.326722E+04
   170   0.496488E+04   0.919209E+00  -0.416339E+02   0.331891E+07   0.323802E+04
   171   0.499203E+04   0.908261E+00  -0.411402E+02   0.330083E+07   0.320918E+04
   172   0.501879E+04   0.897168E+00  -0.406193E+02   0.328291E+07   0.318069E+04
   173   0.504509E+04   0.885929E+00  -0.400710E+02   0.326513E+07   0.315256E+04
   174   0.507106E+04   0.874842E+00  -0.394954E+02   0.324749E+07   0.312479E+04
   175   0.509664E+04   0.863611E+00  -0.388917E+02   0.323000E+07   0.309739E+04
   176   0.512168E+04   0.852459E+00  -0.382599E+02   0.321264E+07   0.307038E+04
   177   0.514632E+04   0.841313E+00  -0.376016E+02   0.319543E+07   0.304373E+04
   178   0.517048E+04   0.830395E+00  -0.369151E+02   0.317836E+07   0.301744E+04
   179   0.519418E+04   0.819410E+00  -0.362005E+02   0.316142E+07   0.299150E+04
   180   0.521756E+04   0.808580E+00  -0.354594E+02   0.314463E+07   0.296590E+04
   181   0.524040E+04   0.797906E+00  -0.346916E+02   0.312796E+07   0.294064E+04
   182   0.526276E+04   0.787462E+00  -0.338958E+02   0.311143E+07   0.291570E+04
   183   0.528459E+04   0.777176E+00  -0.330735E+02   0.309504E+07   0.289107E+04
   184   0.530602E+04   0.767121E+00  -0.322238E+02   0.307877E+07   0.286674E+04
   185   0.532699E+04   0.757446E+00  -0.313490E+02   0.306264E+07   0.284272E+04
   186   0.534712E+04   0.748011E+00  -0.304461E+02   0.304663E+07   0.281897E+04
   187   0.536709E+04   0.738957E+00  -0.295168E+02   0.303076E+07   0.279551E+04
   188   0.538651E+04   0.730271E+00  -0.285623E+02   0.301500E+07   0.277231E+04
   189   0.540533E+04   0.721989E+00  -0.275813E+02   0.299938E+07   0.274937E+04
   190   0.542398E+04   0.714164E+00  -0.265760E+02   0.298388E+07   0.272668E+04
   191   0.544172E+04   0.706819E+00  -0.255434E+02   0.296850E+07   0.270423E+04
   192   0.545907E+04   0.699976E+00  -0.244857E+02   0.295324E+07   0.268200E+04
   193   0.547581E+04   0.693680E+00  -0.234045E+02   0.293810E+07   0.266000E+04
   194   0.549217E+04   0.687963E+00  -0.222975E+02   0.292308E+07   0.263822E+04
   195   0.550792E+04   0.682860E+00  -0.211669E+02   0.290818E+07   0.261663E+04
   196   0.552306E+04   0.678410E+00  -0.200121E+02   0.289339E+07   0.259524E+04
   197   0.553774E+04   0.674658E+00  -0.188344E+02   0.287872E+07   0.257403E+04
   198   0.555189E+04   0.671627E+00  -0.176332E+02   0.286417E+07   0.255300E+04
   199   0.556551E+04   0.669354E+00  -0.164093E+02   0.284972E+07   0.253213E+04
   200   0.557859E+04   0.667869E+00  -0.151633E+02   0.283539E+07   0.251142E+04
   201   0.559108E+04   0.667232E+00  -0.138945E+02   0.282116E+07   0.249085E+04
   202   0.560303E+04   0.667451E+00  -0.126044E+02   0.280705E+07   0.247044E+04
   203   0.561437E+04   0.668587E+00  -0.112923E+02   0.279304E+07   0.245017E+04
   204   0.562504E+04   0.670663E+00  -0.996122E+01   0.277914E+07   0.243004E+04
   205   0.563518E+04   0.673722E+00  -0.860888E+01   0.276535E+07   0.241006E+04
   206   0.564464E+04   0.677805E+00  -0.723657E+01   0.275166E+07   0.239022E+04
   207   0.565356E+04   0.682933E+00  -0.584477E+01   0.273808E+07   0.237053E+04
   208   0.566173E+04   0.689159E+00  -0.443400E+01   0.272460E+07   0.235098E+04
   209   0.566930E+04   0.696506E+00  -0.300465E+01   0.271122E+07   0.233157E+04
   210   0.567627E+04   0.705027E+00  -0.155763E+01   0.269795E+07   0.231230E+04
   211   0.568262E+04   0.714753E+00  -0.929998E-01   0.268477E+07   0.229318E+04
   212   0.568823E+04   0.725713E+00   0.138828E+01   0.267170E+07   0.227419E+04
   213   0.569330E+04   0.737953E+00   0.288624E+01   0.265872E+07   0.225534E+04
   214   0.569769E+04   0.751467E+00   0.439967E+01   0.264585E+07   0.223664E+04
   215   0.570148E+04   0.766447E+00   0.592780E+01   0.263307E+07   0.221807E+04
   216   0.570459E+04   0.782710E+00   0.747115E+01   0.262039E+07   0.219964E+04
   217   0.570717E+04   0.800411E+00   0.902770E+01   0.260780E+07   0.218135E+04
   218   0.570907E+04   0.819552E+00   0.105976E+02   0.259531E+07   0.216319E+04
   219   0.571036E+04   0.840133E+00   0.121819E+02   0.258292E+07   0.214517E+04
   220   0.571105E+04   0.862304E+00   0.137761E+02   0.257061E+07   0.212728E+04
   221   0.571113E+04   0.885990E+00   0.153824E+02   0.255840E+07   0.210953E+04
   222   0.571061E+04   0.911341E+00   0.169993E+02   0.254628E+07   0.209192E+04
   223   0.570933E+04   0.938284E+00   0.186275E+02   0.253426E+07   0.207444E+04
   224   0.570759E+04   0.966820E+00   0.202633E+02   0.252232E+07   0.205709E+04
   225   0.570518E+04   0.997096E+00   0.219096E+02   0.251047E+07   0.203987E+04
   226   0.570216E+04   0.102912E+01   0.235628E+02   0.249871E+07   0.202279E+04
   227   0.569846E+04   0.106288E+01   0.252243E+02   0.248703E+07   0.200583E+04
   228   0.569423E+04   0.109838E+01   0.268926E+02   0.247545E+07   0.198901E+04
   229   0.568939E+04   0.113571E+01   0.285662E+02   0.246394E+07   0.197232E+04
   230   0.568387E+04   0.117485E+01   0.302458E+02   0.245253E+07   0.195576E+04
   231   0.567768E+04   0.121589E+01   0.319307E+02   0.244119E+07   0.193932E+04
   232   0.567095E+04   0.125875E+01   0.336193E+02   0.242994E+07   0.192302E+04
   233   0.566361E+04   0.130365E+01   0.353102E+02   0.241877E+07   0.190684E+04
   234   0.565552E+04   0.135045E+01   0.370041E+02   0.240768E+07   0.189079E+04
   235   0.564690E+04   0.139922E+01   0.386996E+02   0.239668E+07   0.187486E+04
   236   0.563760E+04   0.144996E+01   0.403965E+02   0.238575E+07   0.185906E+04
   237   0.562770E+04   0.150275E+01   0.420934E+02   0.237490E+07   0.184339E+04
   238   0.561718E+04   0.155766E+01   0.437902E+02   0.236413E+07   0.182784E+04
   239   0.560614E+04   0.161455E+01   0.454863E+02   0.235343E+07   0.181241E+04
   240   0.559434E+04   0.167348E+01   0.471793E+02   0.234282E+07   0.179711E+04
   241   0.558208E+04   0.173462E+01   0.488701E+02   0.233227E+07   0.178193E+04
   242   0.556922E+04   0.179780E+01   0.505578E+02   0.232180E+07   0.176687E+04
   243   0.555575E+04   0.186319E+01   0.522409E+02   0.231141E+07   0.175194E+04
   244   0.554168E+04   0.193070E+01   0.539202E+02   0.230108E+07   0.173712E+04
   245   0.552699E+04   0.200041E+01   0.555927E+02   0.229083E+07   0.172243E+04
   246   0.551178E+04   0.207232E+01   0.572599E+02   0.228065E+07   0.170786E+04
   247   0.549604E+04   0.214636E+01   0.589194E+02   0.227054E+07   0.169340E+04
   248   0.547968E+04   0.222290E+01   0.605714E+02   0.226050E+07   0.167906E+04
   249   0.546287E+04   0.230143E+01   0.622150E+02   0.225052E+07   0.166484E+04
   250   0.544546E+04   0.238238E+01   0.638488E+02   0.224062E+07   0.165074E+04
   251   0.542759E+04   0.246546E+01   0.654734E+02   0.223078E+07   0.163676E+04
   252   0.540903E+04   0.255090E+01   0.670874E+02   0.222100E+07   0.162289E+04
   253   0.539017E+04   0.263846E+01   0.686893E+02   0.221129E+07   0.160913E+04
   254   0.537070E+04   0.272846E+01   0.702791E+02   0.220165E+07   0.159549E+04
   255   0.535070E+04   0.282058E+01   0.718567E+02   0.219207E+07   0.158196E+04
   256   0.533024E+04   0.291520E+01   0.734221E+02   0.218255E+07   0.156854E+04
   257   0.530933E+04   0.301188E+01   0.749672E+02   0.217310E+07   0.155523E+04
   258   0.528788E+04   0.311098E+01   0.765046E+02   0.216371E+07   0.154203E+04
   259   0.526598E+04   0.321236E+01   0.780194E+02   0.215439E+07   0.152894E+04
   260   0.524370E+04   0.331602E+01   0.795264E+02   0.214512E+07   0.151595E+04
   261   0.522089E+04   0.342187E+01   0.810034E+02   0.213592E+07   0.150307E+04
   262   0.519755E+04   0.353015E+01   0.824726E+02   0.212678E+07   0.149029E+04
   263   0.517404E+04   0.364064E+01   0.839266E+02   0.211769E+07   0.147762E+04
   264   0.514994E+04   0.375339E+01   0.853580E+02   0.210867E+07   0.146505E+04
   265   0.512530E+04   0.386835E+01   0.867592E+02   0.209971E+07   0.145258E+04
   266   0.510036E+04   0.398572E+01   0.881527E+02   0.209081E+07   0.144020E+04
   267   0.507489E+04   0.410515E+01   0.895160E+02   0.208196E+07   0.142793E+04
   268   0.504904E+04   0.422700E+01   0.908640E+02   0.207317E+07   0.141575E+04
   269   0.502266E+04   0.435097E+01   0.921893E+02   0.206444E+07   0.140367E+04
   270   0.499605E+04   0.447714E+01   0.934919E+02   0.205577E+07   0.139169E+04
   271   0.496899E+04   0.460544E+01   0.947717E+02   0.204715E+07   0.137979E+04
   272   0.494169E+04   0.473615E+01   0.960214E+02   0.203859E+07   0.136799E+04
   273   0.491394E+04   0.486869E+01   0.972557E+02   0.203009E+07   0.135629E+04
   274   0.488589E+04   0.500365E+01   0.984524E+02   0.202164E+07   0.134467E+04
   275   0.485746E+04   0.514050E+01   0.996337E+02   0.201324E+07   0.133314E+04
   276   0.482879E+04   0.527948E+01   0.100777E+03   0.200490E+07   0.132170E+04
   277   0.479968E+04   0.542058E+01   0.101906E+03   0.199661E+07   0.131035E+04
