#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    60   0.163124E+04  -0.188374E+01   0.707152E-03  -0.188374E+01   0.206786E+00  -0.104802E-05   0.707152E-03  -0.104802E-05   0.137126E-06
    61   0.165367E+04  -0.219595E+01   0.694951E-03  -0.219595E+01   0.217191E+00  -0.106703E-05   0.694951E-03  -0.106703E-05   0.136455E-06
    62   0.167597E+04  -0.252351E+01   0.683078E-03  -0.252351E+01   0.227877E+00  -0.101870E-05   0.683078E-03  -0.101870E-05   0.135775E-06
    63   0.169837E+04  -0.286715E+01   0.671510E-03  -0.286715E+01   0.238839E+00  -0.918301E-06   0.671510E-03  -0.918301E-06   0.135088E-06
    64   0.172116E+04  -0.322784E+01   0.660223E-03  -0.322784E+01   0.250126E+00  -0.781083E-06   0.660223E-03  -0.781083E-06   0.134395E-06
    65   0.174395E+04  -0.360594E+01   0.649195E-03  -0.360594E+01   0.261750E+00  -0.622315E-06   0.649195E-03  -0.622315E-06   0.133696E-06
    66   0.176705E+04  -0.399928E+01   0.638404E-03  -0.399928E+01   0.273669E+00  -0.457260E-06   0.638404E-03  -0.457260E-06   0.132991E-06
    67   0.179031E+04  -0.440467E+01   0.627825E-03  -0.440467E+01   0.285871E+00  -0.301181E-06   0.627825E-03  -0.301181E-06   0.132282E-06
    68   0.181401E+04  -0.481993E+01   0.617436E-03  -0.481993E+01   0.298377E+00  -0.169342E-06   0.617436E-03  -0.169342E-06   0.131569E-06
    69   0.183792E+04  -0.524284E+01   0.607215E-03  -0.524284E+01   0.311122E+00  -0.770061E-07   0.607215E-03  -0.770061E-07   0.130853E-06
    70   0.186220E+04  -0.567456E+01   0.597137E-03  -0.567456E+01   0.324125E+00  -0.394366E-07   0.597137E-03  -0.394366E-07   0.130135E-06
    71   0.188669E+04  -0.611724E+01   0.587188E-03  -0.611724E+01   0.337359E+00  -0.674169E-07   0.587188E-03  -0.674169E-07   0.129415E-06
    72   0.191139E+04  -0.657279E+01   0.577384E-03  -0.657279E+01   0.350809E+00  -0.153811E-06   0.577384E-03  -0.153811E-06   0.128693E-06
    73   0.193624E+04  -0.704264E+01   0.567745E-03  -0.704264E+01   0.364460E+00  -0.287002E-06   0.567745E-03  -0.287002E-06   0.127970E-06
