#    L    TT             EE             BB             TE          
   121   0.337149E+04   0.103094E+01   0.485791E-02  -0.361305E+02
   122   0.340568E+04   0.103960E+01   0.494172E-02  -0.366830E+02
   123   0.343995E+04   0.104782E+01   0.502638E-02  -0.372251E+02
   124   0.347429E+04   0.105567E+01   0.511189E-02  -0.377536E+02
   125   0.350863E+04   0.106307E+01   0.519826E-02  -0.382707E+02
   126   0.354306E+04   0.107010E+01   0.528550E-02  -0.387757E+02
   127   0.357748E+04   0.107660E+01   0.537362E-02  -0.392676E+02
   128   0.361191E+04   0.108273E+01   0.546262E-02  -0.397457E+02
   129   0.364641E+04   0.108834E+01   0.555250E-02  -0.402092E+02
   130   0.368091E+04   0.109341E+01   0.564328E-02  -0.406572E+02
   131   0.371541E+04   0.109811E+01   0.573497E-02  -0.410912E+02
   132   0.374999E+04   0.110228E+01   0.582756E-02  -0.415083E+02
   133   0.378449E+04   0.110600E+01   0.592108E-02  -0.419106E+02
   134   0.381900E+04   0.110926E+01   0.601551E-02  -0.422937E+02
   135   0.385350E+04   0.111199E+01   0.611089E-02  -0.426607E+02
   136   0.388786E+04   0.111420E+01   0.620720E-02  -0.430078E+02
   137   0.392222E+04   0.111595E+01   0.630446E-02  -0.433372E+02
   138   0.395651E+04   0.111718E+01   0.640268E-02  -0.436476E+02
   139   0.399058E+04   0.111802E+01   0.650187E-02  -0.439382E+02
   140   0.402473E+04   0.111827E+01   0.660203E-02  -0.442097E+02
   141   0.405866E+04   0.111798E+01   0.670317E-02  -0.444599E+02
   142   0.409260E+04   0.111724E+01   0.680530E-02  -0.446896E+02
   143   0.412646E+04   0.111605E+01   0.690842E-02  -0.448989E+02
   144   0.416011E+04   0.111433E+01   0.701255E-02  -0.450870E+02
   145   0.419361E+04   0.111223E+01   0.711770E-02  -0.452531E+02
   146   0.422719E+04   0.110953E+01   0.722386E-02  -0.453973E+02
   147   0.426041E+04   0.110646E+01   0.733104E-02  -0.455182E+02
   148   0.429349E+04   0.110285E+01   0.743926E-02  -0.456172E+02
   149   0.432650E+04   0.109879E+01   0.754852E-02  -0.456929E+02
   150   0.435922E+04   0.109435E+01   0.765883E-02  -0.457430E+02
   151   0.439180E+04   0.108946E+01   0.777019E-02  -0.457706E+02
   152   0.442408E+04   0.108404E+01   0.788261E-02  -0.457741E+02
   153   0.445623E+04   0.107825E+01   0.799609E-02  -0.457514E+02
   154   0.448815E+04   0.107208E+01   0.811064E-02  -0.457046E+02
   155   0.451986E+04   0.106553E+01   0.822626E-02  -0.456330E+02
   156   0.455119E+04   0.105861E+01   0.834296E-02  -0.455366E+02
   157   0.458245E+04   0.105131E+01   0.846073E-02  -0.454138E+02
   158   0.461341E+04   0.104372E+01   0.857960E-02  -0.452655E+02
   159   0.464407E+04   0.103567E+01   0.869955E-02  -0.450916E+02
   160   0.467450E+04   0.102734E+01   0.882059E-02  -0.448906E+02
   161   0.470470E+04   0.101878E+01   0.894272E-02  -0.446639E+02
   162   0.473460E+04   0.100985E+01   0.906594E-02  -0.444117E+02
   163   0.476434E+04   0.100062E+01   0.919026E-02  -0.441323E+02
   164   0.479362E+04   0.991175E+00   0.931567E-02  -0.438273E+02
   165   0.482274E+04   0.981437E+00   0.944217E-02  -0.434944E+02
   166   0.485155E+04   0.971555E+00   0.956976E-02  -0.431351E+02
   167   0.488013E+04   0.961307E+00   0.969844E-02  -0.427502E+02
   168   0.490824E+04   0.951065E+00   0.982822E-02  -0.423373E+02
   169   0.493604E+04   0.940533E+00   0.995908E-02  -0.418965E+02
   170   0.496352E+04   0.929935E+00   0.100910E-01  -0.414293E+02
   171   0.499053E+04   0.919271E+00   0.102240E-01  -0.409334E+02
   172   0.501715E+04   0.908467E+00   0.103581E-01  -0.404103E+02
   173   0.504330E+04   0.897526E+00   0.104933E-01  -0.398600E+02
   174   0.506913E+04   0.886743E+00   0.106295E-01  -0.392824E+02
   175   0.509457E+04   0.875823E+00   0.107668E-01  -0.386769E+02
   176   0.511945E+04   0.864990E+00   0.109052E-01  -0.380434E+02
   177   0.514394E+04   0.854170E+00   0.110446E-01  -0.373835E+02
   178   0.516796E+04   0.843586E+00   0.111850E-01  -0.366955E+02
   179   0.519150E+04   0.832941E+00   0.113265E-01  -0.359796E+02
   180   0.521472E+04   0.822458E+00   0.114690E-01  -0.352373E+02
   181   0.523740E+04   0.812139E+00   0.116125E-01  -0.344685E+02
   182   0.525961E+04   0.802057E+00   0.117571E-01  -0.336717E+02
   183   0.528128E+04   0.792139E+00   0.119026E-01  -0.328486E+02
   184   0.530255E+04   0.782460E+00   0.120492E-01  -0.319982E+02
   185   0.532336E+04   0.773168E+00   0.121967E-01  -0.311230E+02
   186   0.534333E+04   0.764123E+00   0.123452E-01  -0.302198E+02
   187   0.536313E+04   0.755466E+00   0.124947E-01  -0.292903E+02
   188   0.538239E+04   0.747183E+00   0.126451E-01  -0.283358E+02
   189   0.540104E+04   0.739311E+00   0.127964E-01  -0.273550E+02
   190   0.541953E+04   0.731902E+00   0.129488E-01  -0.263500E+02
   191   0.543710E+04   0.724980E+00   0.131020E-01  -0.253180E+02
   192   0.545429E+04   0.718567E+00   0.132561E-01  -0.242610E+02
   193   0.547086E+04   0.712708E+00   0.134112E-01  -0.231807E+02
   194   0.548705E+04   0.707432E+00   0.135671E-01  -0.220748E+02
   195   0.550263E+04   0.702778E+00   0.137240E-01  -0.209455E+02
   196   0.551761E+04   0.698782E+00   0.138817E-01  -0.197922E+02
   197   0.553212E+04   0.695489E+00   0.140403E-01  -0.186162E+02
   198   0.554610E+04   0.692923E+00   0.141997E-01  -0.174169E+02
   199   0.555955E+04   0.691120E+00   0.143599E-01  -0.161950E+02
   200   0.557247E+04   0.690110E+00   0.145210E-01  -0.149513E+02
   201   0.558479E+04   0.689954E+00   0.146829E-01  -0.136851E+02
   202   0.559657E+04   0.690658E+00   0.148456E-01  -0.123977E+02
   203   0.560775E+04   0.692283E+00   0.150091E-01  -0.110886E+02
   204   0.561826E+04   0.694852E+00   0.151734E-01  -0.976071E+01
   205   0.562823E+04   0.698409E+00   0.153384E-01  -0.841178E+01
   206   0.563752E+04   0.702993E+00   0.155042E-01  -0.704313E+01
   207   0.564628E+04   0.708625E+00   0.156707E-01  -0.565520E+01
   208   0.565430E+04   0.715359E+00   0.158380E-01  -0.424854E+01
   209   0.566170E+04   0.723217E+00   0.160059E-01  -0.282354E+01
   210   0.566850E+04   0.732251E+00   0.161746E-01  -0.138110E+01
   211   0.567470E+04   0.742491E+00   0.163439E-01   0.786951E-01
   212   0.568015E+04   0.753969E+00   0.165140E-01   0.155490E+01
   213   0.568507E+04   0.766727E+00   0.166846E-01   0.304755E+01
   214   0.568930E+04   0.780760E+00   0.168560E-01   0.455541E+01
   215   0.569294E+04   0.796261E+00   0.170279E-01   0.607773E+01
   216   0.569590E+04   0.813044E+00   0.172005E-01   0.761502E+01
   217   0.569832E+04   0.831266E+00   0.173737E-01   0.916525E+01
   218   0.570007E+04   0.850927E+00   0.175474E-01   0.107286E+02
