#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.691045E-01   0.409609E+07   0.408217E+07   0.428065E+02  -0.214613E+02   0.000000E+00   0.409394E+07   0.409394E+07   0.409394E+07  -0.973056E-01   0.214633E+07   0.214615E+07   0.851882E+00
   0.734235E-01   0.385674E+07   0.384380E+07   0.357030E+02  -0.179000E+02   0.000000E+00   0.385474E+07   0.385474E+07   0.385474E+07  -0.916202E-01   0.202092E+07   0.202075E+07   0.764174E+00
   0.777425E-01   0.361895E+07   0.360588E+07   0.298812E+02  -0.149815E+02   0.000000E+00   0.361693E+07   0.361693E+07   0.361693E+07  -0.859680E-01   0.189625E+07   0.189608E+07   0.727108E+00
   0.820616E-01   0.338488E+07   0.337092E+07   0.250814E+02  -0.125755E+02   0.000000E+00   0.338272E+07   0.338272E+07   0.338272E+07  -0.804012E-01   0.177346E+07   0.177328E+07   0.716401E+00
   0.863806E-01   0.316009E+07   0.314497E+07   0.211301E+02  -0.105948E+02   0.000000E+00   0.315775E+07   0.315775E+07   0.315775E+07  -0.750541E-01   0.165552E+07   0.165534E+07   0.712126E+00
   0.906996E-01   0.295051E+07   0.293436E+07   0.178922E+02  -0.897163E+01   0.000000E+00   0.294801E+07   0.294801E+07   0.294801E+07  -0.700689E-01   0.154556E+07   0.154537E+07   0.700208E+00
   0.960627E-01   0.271927E+07   0.270249E+07   0.146982E+02  -0.737035E+01   0.000000E+00   0.271668E+07   0.271668E+07   0.271668E+07  -0.645705E-01   0.142428E+07   0.142409E+07   0.663698E+00
   0.101426E+00   0.252658E+07   0.251015E+07   0.122499E+02  -0.614274E+01   0.000000E+00   0.252404E+07   0.252404E+07   0.252404E+07  -0.599919E-01   0.132329E+07   0.132311E+07   0.601324E+00
   0.106789E+00   0.237340E+07   0.235827E+07   0.103807E+02  -0.520536E+01   0.000000E+00   0.237106E+07   0.237106E+07   0.237106E+07  -0.563559E-01   0.124308E+07   0.124292E+07   0.520390E+00
   0.112152E+00   0.225327E+07   0.224009E+07   0.893618E+01  -0.448084E+01   0.000000E+00   0.225123E+07   0.225123E+07   0.225123E+07  -0.535077E-01   0.118026E+07   0.118011E+07   0.433154E+00
