#    L    TT             EE             BB             TE          
   317   0.348753E+04   0.123214E+02   0.343880E-01   0.118328E+03
   318   0.345433E+04   0.125101E+02   0.345298E-01   0.118000E+03
   319   0.342129E+04   0.126979E+02   0.346709E-01   0.117635E+03
   320   0.338840E+04   0.128857E+02   0.348112E-01   0.117239E+03
   321   0.335558E+04   0.130742E+02   0.349508E-01   0.116799E+03
   322   0.332293E+04   0.132612E+02   0.350897E-01   0.116322E+03
   323   0.329042E+04   0.134482E+02   0.352278E-01   0.115806E+03
   324   0.325807E+04   0.136359E+02   0.353652E-01   0.115246E+03
   325   0.322595E+04   0.138205E+02   0.355019E-01   0.114664E+03
   326   0.319390E+04   0.140066E+02   0.356380E-01   0.114029E+03
   327   0.316209E+04   0.141919E+02   0.357733E-01   0.113364E+03
   328   0.313050E+04   0.143757E+02   0.359080E-01   0.112669E+03
   329   0.309907E+04   0.145594E+02   0.360420E-01   0.111930E+03
   330   0.306786E+04   0.147416E+02   0.361754E-01   0.111153E+03
   331   0.303696E+04   0.149230E+02   0.363081E-01   0.110346E+03
   332   0.300621E+04   0.151043E+02   0.364402E-01   0.109509E+03
   333   0.297569E+04   0.152841E+02   0.365718E-01   0.108635E+03
   334   0.294547E+04   0.154631E+02   0.367027E-01   0.107723E+03
   335   0.291541E+04   0.156399E+02   0.368330E-01   0.106774E+03
   336   0.288565E+04   0.158158E+02   0.369628E-01   0.105796E+03
   337   0.285620E+04   0.159910E+02   0.370921E-01   0.104772E+03
   338   0.282697E+04   0.161638E+02   0.372209E-01   0.103726E+03
   339   0.279812E+04   0.163366E+02   0.373491E-01   0.102643E+03
   340   0.276950E+04   0.165072E+02   0.374769E-01   0.101537E+03
   341   0.274111E+04   0.166754E+02   0.376042E-01   0.100386E+03
   342   0.271310E+04   0.168436E+02   0.377311E-01   0.992061E+02
   343   0.268539E+04   0.170088E+02   0.378575E-01   0.979959E+02
   344   0.265806E+04   0.171724E+02   0.379836E-01   0.967558E+02
   345   0.263095E+04   0.173337E+02   0.381092E-01   0.954859E+02
   346   0.260423E+04   0.174942E+02   0.382346E-01   0.941935E+02
   347   0.257781E+04   0.176517E+02   0.383596E-01   0.928639E+02
   348   0.255177E+04   0.178069E+02   0.384843E-01   0.915044E+02
   349   0.252603E+04   0.179606E+02   0.386087E-01   0.901151E+02
   350   0.250067E+04   0.181112E+02   0.387328E-01   0.887034E+02
   351   0.247583E+04   0.182603E+02   0.388567E-01   0.872618E+02
   352   0.245116E+04   0.184071E+02   0.389804E-01   0.857905E+02
   353   0.242693E+04   0.185508E+02   0.391039E-01   0.843042E+02
   354   0.240301E+04   0.186923E+02   0.392273E-01   0.827807E+02
   355   0.237954E+04   0.188315E+02   0.393505E-01   0.812349E+02
   356   0.235644E+04   0.189684E+02   0.394736E-01   0.796743E+02
   357   0.233373E+04   0.191023E+02   0.395966E-01   0.780839E+02
   358   0.231146E+04   0.192324E+02   0.397195E-01   0.764787E+02
   359   0.228950E+04   0.193602E+02   0.398424E-01   0.748438E+02
   360   0.226799E+04   0.194858E+02   0.399653E-01   0.731904E+02
   361   0.224686E+04   0.196083E+02   0.400881E-01   0.715141E+02
   362   0.222618E+04   0.197278E+02   0.402110E-01   0.698179E+02
   363   0.220587E+04   0.198450E+02   0.403340E-01   0.681039E+02
   364   0.218602E+04   0.199578E+02   0.404570E-01   0.663685E+02
   365   0.216654E+04   0.200682E+02   0.405801E-01   0.646177E+02
   366   0.214752E+04   0.201756E+02   0.407034E-01   0.628485E+02
   367   0.212894E+04   0.202786E+02   0.408268E-01   0.610632E+02
   368   0.211067E+04   0.203792E+02   0.409503E-01   0.592631E+02
   369   0.209299E+04   0.204769E+02   0.410740E-01   0.574463E+02
   370   0.207570E+04   0.205707E+02   0.411980E-01   0.556178E+02
   371   0.205877E+04   0.206609E+02   0.413221E-01   0.537739E+02
   372   0.204230E+04   0.207480E+02   0.414466E-01   0.519192E+02
   373   0.202628E+04   0.208314E+02   0.415713E-01   0.500506E+02
   374   0.201071E+04   0.209117E+02   0.416962E-01   0.481720E+02
   375   0.199551E+04   0.209884E+02   0.418215E-01   0.462832E+02
   376   0.198084E+04   0.210620E+02   0.419472E-01   0.443844E+02
   377   0.196662E+04   0.211311E+02   0.420732E-01   0.424785E+02
   378   0.195277E+04   0.211965E+02   0.421995E-01   0.405625E+02
   379   0.193937E+04   0.212588E+02   0.423263E-01   0.386410E+02
   380   0.192650E+04   0.213182E+02   0.424534E-01   0.367117E+02
   381   0.191400E+04   0.213709E+02   0.425810E-01   0.347775E+02
   382   0.190188E+04   0.214220E+02   0.427091E-01   0.328393E+02
   383   0.189028E+04   0.214687E+02   0.428376E-01   0.308956E+02
   384   0.187921E+04   0.215109E+02   0.429666E-01   0.289500E+02
   385   0.186844E+04   0.215508E+02   0.430961E-01   0.270012E+02
   386   0.185819E+04   0.215863E+02   0.432261E-01   0.250514E+02
   387   0.184831E+04   0.216172E+02   0.433567E-01   0.231005E+02
   388   0.183889E+04   0.216445E+02   0.434878E-01   0.211500E+02
   389   0.182991E+04   0.216658E+02   0.436196E-01   0.192001E+02
   390   0.182138E+04   0.216863E+02   0.437519E-01   0.172528E+02
   391   0.181331E+04   0.217016E+02   0.438848E-01   0.153068E+02
   392   0.180560E+04   0.217146E+02   0.440184E-01   0.133650E+02
   393   0.179843E+04   0.217225E+02   0.441526E-01   0.114266E+02
   394   0.179162E+04   0.217266E+02   0.442875E-01   0.949399E+01
   395   0.178519E+04   0.217262E+02   0.444231E-01   0.756559E+01
