#    L    TT             EE             TE             PP             TP          
   105   0.295815E+04   0.879095E+00  -0.274162E+02   0.484551E+07   0.605223E+04
   106   0.299161E+04   0.893343E+00  -0.280973E+02   0.481646E+07   0.598311E+04
   107   0.302501E+04   0.907288E+00  -0.287758E+02   0.478757E+07   0.591514E+04
   108   0.305880E+04   0.921008E+00  -0.294524E+02   0.475883E+07   0.584826E+04
   109   0.309276E+04   0.934431E+00  -0.301257E+02   0.473026E+07   0.578245E+04
   110   0.312682E+04   0.947561E+00  -0.307943E+02   0.470186E+07   0.571765E+04
   111   0.316104E+04   0.960473E+00  -0.314598E+02   0.467363E+07   0.565383E+04
   112   0.319543E+04   0.973092E+00  -0.321213E+02   0.464557E+07   0.559099E+04
   113   0.323006E+04   0.985417E+00  -0.327772E+02   0.461769E+07   0.552911E+04
   114   0.326478E+04   0.997370E+00  -0.334268E+02   0.458998E+07   0.546819E+04
   115   0.329974E+04   0.100910E+01  -0.340698E+02   0.456244E+07   0.540823E+04
   116   0.333472E+04   0.102038E+01  -0.347054E+02   0.453508E+07   0.534921E+04
   117   0.337001E+04   0.103128E+01  -0.353329E+02   0.450789E+07   0.529114E+04
   118   0.340546E+04   0.104195E+01  -0.359529E+02   0.448088E+07   0.523400E+04
   119   0.344093E+04   0.105225E+01  -0.365630E+02   0.445404E+07   0.517780E+04
   120   0.347656E+04   0.106201E+01  -0.371632E+02   0.442739E+07   0.512251E+04
   121   0.351220E+04   0.107153E+01  -0.377533E+02   0.440091E+07   0.506815E+04
   122   0.354792E+04   0.108052E+01  -0.383325E+02   0.437461E+07   0.501470E+04
   123   0.358373E+04   0.108904E+01  -0.389007E+02   0.434849E+07   0.496215E+04
   124   0.361962E+04   0.109718E+01  -0.394549E+02   0.432256E+07   0.491051E+04
   125   0.365551E+04   0.110484E+01  -0.399971E+02   0.429680E+07   0.485976E+04
   126   0.369149E+04   0.111212E+01  -0.405266E+02   0.427123E+07   0.480990E+04
   127   0.372748E+04   0.111884E+01  -0.410425E+02   0.424583E+07   0.476093E+04
   128   0.376347E+04   0.112517E+01  -0.415439E+02   0.422063E+07   0.471283E+04
   129   0.379954E+04   0.113095E+01  -0.420301E+02   0.419560E+07   0.466560E+04
   130   0.383561E+04   0.113618E+01  -0.425001E+02   0.417076E+07   0.461924E+04
   131   0.387169E+04   0.114100E+01  -0.429555E+02   0.414611E+07   0.457373E+04
   132   0.390784E+04   0.114527E+01  -0.433931E+02   0.412164E+07   0.452906E+04
   133   0.394392E+04   0.114906E+01  -0.438153E+02   0.409735E+07   0.448519E+04
   134   0.398000E+04   0.115237E+01  -0.442175E+02   0.407325E+07   0.444210E+04
   135   0.401609E+04   0.115513E+01  -0.446028E+02   0.404932E+07   0.439976E+04
   136   0.405203E+04   0.115733E+01  -0.449675E+02   0.402558E+07   0.435814E+04
   137   0.408797E+04   0.115906E+01  -0.453138E+02   0.400202E+07   0.431721E+04
   138   0.412384E+04   0.116023E+01  -0.456402E+02   0.397863E+07   0.427695E+04
   139   0.415949E+04   0.116100E+01  -0.459459E+02   0.395542E+07   0.423732E+04
   140   0.419521E+04   0.116114E+01  -0.462318E+02   0.393239E+07   0.419831E+04
   141   0.423072E+04   0.116073E+01  -0.464955E+02   0.390954E+07   0.415988E+04
   142   0.426623E+04   0.115984E+01  -0.467379E+02   0.388685E+07   0.412201E+04
   143   0.430166E+04   0.115847E+01  -0.469589E+02   0.386434E+07   0.408467E+04
   144   0.433688E+04   0.115655E+01  -0.471579E+02   0.384201E+07   0.404782E+04
   145   0.437195E+04   0.115422E+01  -0.473340E+02   0.381984E+07   0.401145E+04
   146   0.440709E+04   0.115127E+01  -0.474873E+02   0.379785E+07   0.397552E+04
   147   0.444187E+04   0.114791E+01  -0.476163E+02   0.377602E+07   0.394001E+04
   148   0.447650E+04   0.114400E+01  -0.477225E+02   0.375436E+07   0.390489E+04
   149   0.451106E+04   0.113961E+01  -0.478043E+02   0.373287E+07   0.387013E+04
   150   0.454532E+04   0.113482E+01  -0.478597E+02   0.371154E+07   0.383571E+04
   151   0.457944E+04   0.112955E+01  -0.478915E+02   0.369038E+07   0.380160E+04
   152   0.461326E+04   0.112373E+01  -0.478983E+02   0.366938E+07   0.376779E+04
   153   0.464693E+04   0.111751E+01  -0.478777E+02   0.364855E+07   0.373429E+04
   154   0.468038E+04   0.111088E+01  -0.478321E+02   0.362787E+07   0.370111E+04
   155   0.471359E+04   0.110386E+01  -0.477606E+02   0.360736E+07   0.366823E+04
   156   0.474643E+04   0.109645E+01  -0.476632E+02   0.358701E+07   0.363566E+04
   157   0.477918E+04   0.108863E+01  -0.475384E+02   0.356682E+07   0.360341E+04
   158   0.481163E+04   0.108050E+01  -0.473869E+02   0.354679E+07   0.357147E+04
   159   0.484377E+04   0.107190E+01  -0.472088E+02   0.352691E+07   0.353984E+04
   160   0.487567E+04   0.106299E+01  -0.470024E+02   0.350719E+07   0.350853E+04
