#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    63   0.176087E+04  -0.294333E+01   0.650158E-03  -0.294333E+01   0.247777E+00  -0.427674E-06   0.650158E-03  -0.427674E-06   0.135405E-06
    64   0.178452E+04  -0.331599E+01   0.639211E-03  -0.331599E+01   0.259488E+00  -0.383624E-06   0.639211E-03  -0.383624E-06   0.134713E-06
    65   0.180818E+04  -0.370697E+01   0.628561E-03  -0.370697E+01   0.271542E+00  -0.333786E-06   0.628561E-03  -0.333786E-06   0.134015E-06
    66   0.183215E+04  -0.411408E+01   0.618187E-03  -0.411408E+01   0.283901E+00  -0.283713E-06   0.618187E-03  -0.283713E-06   0.133311E-06
    67   0.185627E+04  -0.453408E+01   0.608062E-03  -0.453408E+01   0.296552E+00  -0.238959E-06   0.608062E-03  -0.238959E-06   0.132603E-06
    68   0.188084E+04  -0.496476E+01   0.598164E-03  -0.496476E+01   0.309514E+00  -0.205074E-06   0.598164E-03  -0.205074E-06   0.131891E-06
    69   0.190563E+04  -0.540384E+01   0.588467E-03  -0.540384E+01   0.322726E+00  -0.187613E-06   0.588467E-03  -0.187613E-06   0.131176E-06
    70   0.193079E+04  -0.585247E+01   0.578948E-03  -0.585247E+01   0.336205E+00  -0.192128E-06   0.578948E-03  -0.192128E-06   0.130459E-06
    71   0.195617E+04  -0.631273E+01   0.569588E-03  -0.631273E+01   0.349925E+00  -0.222505E-06   0.569588E-03  -0.222505E-06   0.129740E-06
    72   0.198177E+04  -0.678647E+01   0.560392E-03  -0.678647E+01   0.363872E+00  -0.275969E-06   0.560392E-03  -0.275969E-06   0.129019E-06
    73   0.200751E+04  -0.727501E+01   0.551370E-03  -0.727501E+01   0.378029E+00  -0.348076E-06   0.551370E-03  -0.348076E-06   0.128297E-06
    74   0.203341E+04  -0.777816E+01   0.542533E-03  -0.777816E+01   0.392404E+00  -0.434384E-06   0.542533E-03  -0.434384E-06   0.127574E-06
    75   0.205954E+04  -0.829517E+01   0.533892E-03  -0.829517E+01   0.407024E+00  -0.530452E-06   0.533892E-03  -0.530452E-06   0.126850E-06
    76   0.208583E+04  -0.882585E+01   0.525456E-03  -0.882585E+01   0.421905E+00  -0.631835E-06   0.525456E-03  -0.631835E-06   0.126125E-06
    77   0.211236E+04  -0.936951E+01   0.517237E-03  -0.936951E+01   0.437030E+00  -0.734093E-06   0.517237E-03  -0.734093E-06   0.125400E-06
    78   0.213922E+04  -0.992679E+01   0.509245E-03  -0.992679E+01   0.452413E+00  -0.832782E-06   0.509245E-03  -0.832782E-06   0.124675E-06
    79   0.216624E+04  -0.104931E+02   0.501490E-03  -0.104931E+02   0.467987E+00  -0.923459E-06   0.501490E-03  -0.923459E-06   0.123949E-06
    80   0.219359E+04  -0.110692E+02   0.493983E-03  -0.110692E+02   0.483743E+00  -0.100168E-05   0.493983E-03  -0.100168E-05   0.123224E-06
    81   0.222120E+04  -0.116548E+02   0.486730E-03  -0.116548E+02   0.499621E+00  -0.106398E-05   0.486730E-03  -0.106398E-05   0.122499E-06
