#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.259309E-01   0.977900E+07   0.974077E+07   0.195783E+02  -0.363876E+03   0.000000E+00   0.977308E+07   0.977308E+07   0.977308E+07  -0.232289E+00   0.512376E+07   0.512365E+07   0.142084E+01
   0.302527E-01   0.861890E+07   0.857639E+07  -0.683377E+02  -0.235590E+03   0.000000E+00   0.861233E+07   0.861233E+07   0.861233E+07  -0.204700E+00   0.451522E+07   0.451511E+07   0.118849E+01
   0.345746E-01   0.763277E+07   0.758859E+07  -0.236726E+02  -0.159718E+03   0.000000E+00   0.762594E+07   0.762594E+07   0.762594E+07  -0.181255E+00   0.399809E+07   0.399799E+07   0.988105E+00
   0.388964E-01   0.681551E+07   0.677230E+07  -0.217057E+02  -0.112676E+03   0.000000E+00   0.680883E+07   0.680883E+07   0.680883E+07  -0.161834E+00   0.356970E+07   0.356961E+07   0.810296E+00
   0.432182E-01   0.615355E+07   0.611354E+07  -0.185405E+02  -0.824007E+02   0.000000E+00   0.614736E+07   0.614736E+07   0.614736E+07  -0.146112E+00   0.322291E+07   0.322283E+07   0.653031E+00
   0.475400E-01   0.562400E+07   0.558876E+07   0.843012E+02  -0.622408E+02   0.000000E+00   0.561854E+07   0.561854E+07   0.561854E+07  -0.133543E+00   0.294566E+07   0.294559E+07   0.517154E+00
   0.518618E-01   0.520650E+07   0.517682E+07   0.655845E+02  -0.484205E+02   0.000000E+00   0.520191E+07   0.520191E+07   0.520191E+07  -0.123640E+00   0.272722E+07   0.272716E+07   0.404196E+00
   0.561837E-01   0.486614E+07   0.484199E+07   0.522363E+02  -0.385642E+02   0.000000E+00   0.486241E+07   0.486241E+07   0.486241E+07  -0.115571E+00   0.254923E+07   0.254917E+07   0.314484E+00
   0.605055E-01   0.457883E+07   0.455950E+07   0.423866E+02  -0.312915E+02   0.000000E+00   0.457584E+07   0.457584E+07   0.457584E+07  -0.108760E+00   0.239898E+07   0.239894E+07   0.247222E+00
   0.648273E-01   0.432121E+07   0.430554E+07   0.348496E+02  -0.257268E+02   0.000000E+00   0.431879E+07   0.431879E+07   0.431879E+07  -0.102650E+00   0.226422E+07   0.226418E+07   0.200065E+00
   0.691491E-01   0.407738E+07   0.406400E+07   0.289029E+02  -0.213365E+02   0.000000E+00   0.407531E+07   0.407531E+07   0.407531E+07  -0.968629E-01   0.213656E+07   0.213653E+07   0.169588E+00
   0.734709E-01   0.383784E+07   0.382543E+07   0.240986E+02  -0.177900E+02   0.000000E+00   0.383592E+07   0.383592E+07   0.383592E+07  -0.911730E-01   0.201106E+07   0.201103E+07   0.151712E+00
   0.777928E-01   0.360009E+07   0.358756E+07   0.201628E+02  -0.148847E+02   0.000000E+00   0.359815E+07   0.359815E+07   0.359815E+07  -0.855216E-01   0.188641E+07   0.188637E+07   0.142237E+00
   0.821146E-01   0.336626E+07   0.335292E+07   0.169195E+02  -0.124907E+02   0.000000E+00   0.336420E+07   0.336420E+07   0.336420E+07  -0.799610E-01   0.176375E+07   0.176372E+07   0.137298E+00
   0.864364E-01   0.314190E+07   0.312747E+07   0.142505E+02  -0.105207E+02   0.000000E+00   0.313966E+07   0.313966E+07   0.313966E+07  -0.746242E-01   0.164604E+07   0.164600E+07   0.133752E+00
   0.907582E-01   0.293281E+07   0.291741E+07   0.120641E+02  -0.890678E+01   0.000000E+00   0.293043E+07   0.293043E+07   0.293043E+07  -0.696511E-01   0.153635E+07   0.153631E+07   0.129379E+00
   0.961207E-01   0.270240E+07   0.268640E+07   0.990940E+01  -0.731621E+01   0.000000E+00   0.269992E+07   0.269992E+07   0.269992E+07  -0.641724E-01   0.141550E+07   0.141547E+07   0.121051E+00
   0.101483E+00   0.251051E+07   0.249485E+07   0.825814E+01  -0.609712E+01   0.000000E+00   0.250809E+07   0.250809E+07   0.250809E+07  -0.596127E-01   0.131493E+07   0.131489E+07   0.109191E+00
   0.106846E+00   0.235804E+07   0.234361E+07   0.699770E+01  -0.516646E+01   0.000000E+00   0.235580E+07   0.235580E+07   0.235580E+07  -0.559933E-01   0.123509E+07   0.123506E+07   0.948743E-01
   0.112208E+00   0.223843E+07   0.222586E+07   0.602354E+01  -0.444712E+01   0.000000E+00   0.223649E+07   0.223649E+07   0.223649E+07  -0.531573E-01   0.117253E+07   0.117250E+07   0.799219E-01
   0.117571E+00   0.214064E+07   0.213012E+07   0.524756E+01  -0.387408E+01   0.000000E+00   0.213902E+07   0.213902E+07   0.213902E+07  -0.508406E-01   0.112143E+07   0.112140E+07   0.662011E-01
   0.122933E+00   0.205352E+07   0.204482E+07   0.460494E+01  -0.339956E+01   0.000000E+00   0.205218E+07   0.205218E+07   0.205218E+07  -0.487766E-01   0.107590E+07   0.107588E+07   0.551116E-01
