#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    79   0.208189E+04  -0.100516E+02   0.511523E-03  -0.100516E+02   0.449128E+00  -0.136479E-05   0.511523E-03  -0.136479E-05   0.123843E-06
    80   0.210810E+04  -0.106046E+02   0.503723E-03  -0.106046E+02   0.464244E+00  -0.150450E-05   0.503723E-03  -0.150450E-05   0.123116E-06
    81   0.213455E+04  -0.111674E+02   0.496257E-03  -0.111674E+02   0.479470E+00  -0.160360E-05   0.496257E-03  -0.160360E-05   0.122388E-06
    82   0.216131E+04  -0.117390E+02   0.489108E-03  -0.117390E+02   0.494822E+00  -0.166382E-05   0.489108E-03  -0.166382E-05   0.121662E-06
    83   0.218832E+04  -0.123194E+02   0.482248E-03  -0.123194E+02   0.510271E+00  -0.168951E-05   0.482248E-03  -0.168951E-05   0.120936E-06
    84   0.221563E+04  -0.129067E+02   0.475652E-03  -0.129067E+02   0.525807E+00  -0.168502E-05   0.475652E-03  -0.168502E-05   0.120212E-06
    85   0.224310E+04  -0.135022E+02   0.469294E-03  -0.135022E+02   0.541403E+00  -0.165470E-05   0.469294E-03  -0.165470E-05   0.119489E-06
    86   0.227080E+04  -0.141051E+02   0.463147E-03  -0.141051E+02   0.557064E+00  -0.160288E-05   0.463147E-03  -0.160288E-05   0.118768E-06
    87   0.229896E+04  -0.147142E+02   0.457186E-03  -0.147142E+02   0.572753E+00  -0.153394E-05   0.457186E-03  -0.153394E-05   0.118049E-06
    88   0.232711E+04  -0.153294E+02   0.451384E-03  -0.153294E+02   0.588478E+00  -0.145220E-05   0.451384E-03  -0.145220E-05   0.117332E-06
    89   0.235564E+04  -0.159520E+02   0.445716E-03  -0.159520E+02   0.604217E+00  -0.136202E-05   0.445716E-03  -0.136202E-05   0.116618E-06
    90   0.238438E+04  -0.165787E+02   0.440155E-03  -0.165787E+02   0.619924E+00  -0.126776E-05   0.440155E-03  -0.126776E-05   0.115907E-06
    91   0.241327E+04  -0.172102E+02   0.434679E-03  -0.172102E+02   0.635586E+00  -0.117311E-05   0.434679E-03  -0.117311E-05   0.115199E-06
    92   0.244245E+04  -0.178458E+02   0.429283E-03  -0.178458E+02   0.651189E+00  -0.107923E-05   0.429283E-03  -0.107923E-05   0.114494E-06
    93   0.247192E+04  -0.184855E+02   0.423966E-03  -0.184855E+02   0.666730E+00  -0.986637E-06   0.423966E-03  -0.986637E-06   0.113792E-06
    94   0.250146E+04  -0.191280E+02   0.418728E-03  -0.191280E+02   0.682175E+00  -0.895846E-06   0.418728E-03  -0.895846E-06   0.113093E-06
    95   0.253130E+04  -0.197741E+02   0.413566E-03  -0.197741E+02   0.697526E+00  -0.807371E-06   0.413566E-03  -0.807371E-06   0.112398E-06
    96   0.256113E+04  -0.204232E+02   0.408481E-03  -0.204232E+02   0.712771E+00  -0.721727E-06   0.408481E-03  -0.721727E-06   0.111706E-06
    97   0.259141E+04  -0.210746E+02   0.403472E-03  -0.210746E+02   0.727901E+00  -0.639428E-06   0.403472E-03  -0.639428E-06   0.111017E-06
    98   0.262191E+04  -0.217263E+02   0.398536E-03  -0.217263E+02   0.742908E+00  -0.560991E-06   0.398536E-03  -0.560991E-06   0.110332E-06
    99   0.265249E+04  -0.223813E+02   0.393675E-03  -0.223813E+02   0.757761E+00  -0.486928E-06   0.393675E-03  -0.486928E-06   0.109651E-06
   100   0.268337E+04  -0.230352E+02   0.388885E-03  -0.230352E+02   0.772462E+00  -0.417756E-06   0.388885E-03  -0.417756E-06   0.108973E-06
   101   0.271440E+04  -0.236911E+02   0.384167E-03  -0.236911E+02   0.787074E+00  -0.353988E-06   0.384167E-03  -0.353988E-06   0.108299E-06
   102   0.274595E+04  -0.243469E+02   0.379520E-03  -0.243469E+02   0.801451E+00  -0.296141E-06   0.379520E-03  -0.296141E-06   0.107629E-06
   103   0.277744E+04  -0.250035E+02   0.374942E-03  -0.250035E+02   0.815670E+00  -0.244728E-06   0.374942E-03  -0.244728E-06   0.106962E-06
   104   0.280915E+04  -0.256579E+02   0.370433E-03  -0.256579E+02   0.829736E+00  -0.200265E-06   0.370433E-03  -0.200265E-06   0.106300E-06
   105   0.284102E+04  -0.263118E+02   0.365991E-03  -0.263118E+02   0.843576E+00  -0.163266E-06   0.365991E-03  -0.163266E-06   0.105641E-06
   106   0.287312E+04  -0.269646E+02   0.361616E-03  -0.269646E+02   0.857268E+00  -0.134247E-06   0.361616E-03  -0.134247E-06   0.104986E-06
   107   0.290515E+04  -0.276147E+02   0.357307E-03  -0.276147E+02   0.870667E+00  -0.113721E-06   0.357307E-03  -0.113721E-06   0.104335E-06
   108   0.293757E+04  -0.282632E+02   0.353062E-03  -0.282632E+02   0.883850E+00  -0.102204E-06   0.353062E-03  -0.102204E-06   0.103689E-06
   109   0.297014E+04  -0.289086E+02   0.348882E-03  -0.289086E+02   0.896746E+00  -0.100211E-06   0.348882E-03  -0.100211E-06   0.103046E-06
   110   0.300280E+04  -0.295495E+02   0.344764E-03  -0.295495E+02   0.909358E+00  -0.108257E-06   0.344764E-03  -0.108257E-06   0.102408E-06
   111   0.303562E+04  -0.301875E+02   0.340708E-03  -0.301875E+02   0.921764E+00  -0.126587E-06   0.340708E-03  -0.126587E-06   0.101774E-06
   112   0.306860E+04  -0.308217E+02   0.336714E-03  -0.308217E+02   0.933887E+00  -0.154377E-06   0.336714E-03  -0.154377E-06   0.101144E-06
   113   0.310182E+04  -0.314508E+02   0.332783E-03  -0.314508E+02   0.945727E+00  -0.190531E-06   0.332783E-03  -0.190531E-06   0.100518E-06
   114   0.313512E+04  -0.320737E+02   0.328913E-03  -0.320737E+02   0.957208E+00  -0.233955E-06   0.328913E-03  -0.233955E-06   0.998969E-07
   115   0.316866E+04  -0.326906E+02   0.325106E-03  -0.326906E+02   0.968477E+00  -0.283555E-06   0.325106E-03  -0.283555E-06   0.992799E-07
   116   0.320220E+04  -0.333004E+02   0.321361E-03  -0.333004E+02   0.979310E+00  -0.338236E-06   0.321361E-03  -0.338236E-06   0.986671E-07
   117   0.323605E+04  -0.339025E+02   0.317678E-03  -0.339025E+02   0.989779E+00  -0.396904E-06   0.317678E-03  -0.396904E-06   0.980587E-07
   118   0.327007E+04  -0.344975E+02   0.314059E-03  -0.344975E+02   0.100003E+01  -0.458465E-06   0.314059E-03  -0.458465E-06   0.974545E-07
   119   0.330408E+04  -0.350831E+02   0.310501E-03  -0.350831E+02   0.100992E+01  -0.521823E-06   0.310501E-03  -0.521823E-06   0.968546E-07
   120   0.333826E+04  -0.356592E+02   0.307007E-03  -0.356592E+02   0.101929E+01  -0.585885E-06   0.307007E-03  -0.585885E-06   0.962590E-07
   121   0.337244E+04  -0.362258E+02   0.303575E-03  -0.362258E+02   0.102845E+01  -0.649556E-06   0.303575E-03  -0.649556E-06   0.956678E-07
   122   0.340671E+04  -0.367821E+02   0.300207E-03  -0.367821E+02   0.103708E+01  -0.711742E-06   0.300207E-03  -0.711742E-06   0.950808E-07
   123   0.344105E+04  -0.373278E+02   0.296901E-03  -0.373278E+02   0.104527E+01  -0.771349E-06   0.296901E-03  -0.771349E-06   0.944981E-07
   124   0.347548E+04  -0.378602E+02   0.293659E-03  -0.378602E+02   0.105308E+01  -0.827281E-06   0.293659E-03  -0.827281E-06   0.939197E-07
   125   0.350991E+04  -0.383812E+02   0.290480E-03  -0.383812E+02   0.106045E+01  -0.878445E-06   0.290480E-03  -0.878445E-06   0.933457E-07
   126   0.354442E+04  -0.388901E+02   0.287364E-03  -0.388901E+02   0.106744E+01  -0.923746E-06   0.287364E-03  -0.923746E-06   0.927759E-07
   127   0.357893E+04  -0.393860E+02   0.284312E-03  -0.393860E+02   0.107391E+01  -0.962090E-06   0.284312E-03  -0.962090E-06   0.922105E-07
   128   0.361345E+04  -0.398682E+02   0.281324E-03  -0.398682E+02   0.108000E+01  -0.992382E-06   0.281324E-03  -0.992382E-06   0.916494E-07
   129   0.364805E+04  -0.403358E+02   0.278399E-03  -0.403358E+02   0.108556E+01  -0.101353E-05   0.278399E-03  -0.101353E-05   0.910926E-07
   130   0.368265E+04  -0.407880E+02   0.275538E-03  -0.407880E+02   0.109059E+01  -0.102443E-05   0.275538E-03  -0.102443E-05   0.905401E-07
   131   0.371725E+04  -0.412263E+02   0.272740E-03  -0.412263E+02   0.109524E+01  -0.102434E-05   0.272740E-03  -0.102434E-05   0.899920E-07
   132   0.375193E+04  -0.416476E+02   0.270003E-03  -0.416476E+02   0.109936E+01  -0.101382E-05   0.270003E-03  -0.101382E-05   0.894482E-07
   133   0.378654E+04  -0.420542E+02   0.267326E-03  -0.420542E+02   0.110302E+01  -0.993790E-06   0.267326E-03  -0.993790E-06   0.889087E-07
   134   0.382116E+04  -0.424418E+02   0.264705E-03  -0.424418E+02   0.110622E+01  -0.965161E-06   0.264705E-03  -0.965161E-06   0.883734E-07
   135   0.385577E+04  -0.428131E+02   0.262137E-03  -0.428131E+02   0.110889E+01  -0.928844E-06   0.262137E-03  -0.928844E-06   0.878423E-07
   136   0.389025E+04  -0.431647E+02   0.259621E-03  -0.431647E+02   0.111103E+01  -0.885751E-06   0.259621E-03  -0.885751E-06   0.873154E-07
   137   0.392473E+04  -0.434987E+02   0.257153E-03  -0.434987E+02   0.111272E+01  -0.836795E-06   0.257153E-03  -0.836795E-06   0.867927E-07
   138   0.395914E+04  -0.438136E+02   0.254732E-03  -0.438136E+02   0.111387E+01  -0.782886E-06   0.254732E-03  -0.782886E-06   0.862741E-07
   139   0.399333E+04  -0.441087E+02   0.252354E-03  -0.441087E+02   0.111464E+01  -0.724937E-06   0.252354E-03  -0.724937E-06   0.857596E-07
   140   0.402760E+04  -0.443848E+02   0.250018E-03  -0.443848E+02   0.111480E+01  -0.663859E-06   0.250018E-03  -0.663859E-06   0.852492E-07
   141   0.406166E+04  -0.446396E+02   0.247720E-03  -0.446396E+02   0.111443E+01  -0.600565E-06   0.247720E-03  -0.600565E-06   0.847429E-07
   142   0.409572E+04  -0.448740E+02   0.245458E-03  -0.448740E+02   0.111361E+01  -0.535966E-06   0.245458E-03  -0.535966E-06   0.842406E-07
   143   0.412972E+04  -0.450879E+02   0.243230E-03  -0.450879E+02   0.111232E+01  -0.470974E-06   0.243230E-03  -0.470974E-06   0.837422E-07
   144   0.416350E+04  -0.452807E+02   0.241032E-03  -0.452807E+02   0.111050E+01  -0.406501E-06   0.241032E-03  -0.406501E-06   0.832479E-07
   145   0.419715E+04  -0.454515E+02   0.238863E-03  -0.454515E+02   0.110830E+01  -0.343459E-06   0.238863E-03  -0.343459E-06   0.827575E-07
   146   0.423087E+04  -0.456004E+02   0.236720E-03  -0.456004E+02   0.110549E+01  -0.282759E-06   0.236720E-03  -0.282759E-06   0.822710E-07
   147   0.426423E+04  -0.457259E+02   0.234601E-03  -0.457259E+02   0.110230E+01  -0.225313E-06   0.234601E-03  -0.225313E-06   0.817884E-07
   148   0.429746E+04  -0.458296E+02   0.232502E-03  -0.458296E+02   0.109857E+01  -0.172034E-06   0.232502E-03  -0.172034E-06   0.813096E-07
   149   0.433062E+04  -0.459100E+02   0.230422E-03  -0.459100E+02   0.109438E+01  -0.123833E-06   0.230422E-03  -0.123833E-06   0.808347E-07
   150   0.436349E+04  -0.459648E+02   0.228358E-03  -0.459648E+02   0.108981E+01  -0.816213E-07   0.228358E-03  -0.816213E-07   0.803635E-07
