#    L    TT             EE             TE             PP             TP          
   162   0.474100E+04   0.100305E+01  -0.446782E+02   0.345572E+07   0.347260E+04
   163   0.477093E+04   0.993598E+00  -0.444028E+02   0.343642E+07   0.344120E+04
   164   0.480041E+04   0.983923E+00  -0.441016E+02   0.341728E+07   0.341011E+04
   165   0.482973E+04   0.973947E+00  -0.437725E+02   0.339829E+07   0.337932E+04
   166   0.485874E+04   0.963819E+00  -0.434168E+02   0.337946E+07   0.334884E+04
   167   0.488752E+04   0.953317E+00  -0.430354E+02   0.336077E+07   0.331869E+04
   168   0.491583E+04   0.942812E+00  -0.426260E+02   0.334223E+07   0.328886E+04
   169   0.494384E+04   0.932009E+00  -0.421886E+02   0.332385E+07   0.325937E+04
   170   0.497153E+04   0.921131E+00  -0.417246E+02   0.330561E+07   0.323022E+04
   171   0.499875E+04   0.910179E+00  -0.412318E+02   0.328751E+07   0.320141E+04
   172   0.502559E+04   0.899079E+00  -0.407117E+02   0.326957E+07   0.317296E+04
   173   0.505196E+04   0.887832E+00  -0.401642E+02   0.325177E+07   0.314486E+04
   174   0.507800E+04   0.876735E+00  -0.395894E+02   0.323411E+07   0.311713E+04
   175   0.510366E+04   0.865492E+00  -0.389865E+02   0.321660E+07   0.308978E+04
   176   0.512877E+04   0.854327E+00  -0.383555E+02   0.319922E+07   0.306280E+04
   177   0.515348E+04   0.843166E+00  -0.376978E+02   0.318199E+07   0.303619E+04
   178   0.517772E+04   0.832231E+00  -0.370119E+02   0.316490E+07   0.300993E+04
   179   0.520149E+04   0.821227E+00  -0.362980E+02   0.314795E+07   0.298403E+04
   180   0.522494E+04   0.810376E+00  -0.355574E+02   0.313114E+07   0.295847E+04
   181   0.524785E+04   0.799679E+00  -0.347903E+02   0.311446E+07   0.293325E+04
   182   0.527029E+04   0.789211E+00  -0.339950E+02   0.309791E+07   0.290834E+04
   183   0.529219E+04   0.778897E+00  -0.331730E+02   0.308150E+07   0.288375E+04
   184   0.531370E+04   0.768813E+00  -0.323238E+02   0.306522E+07   0.285947E+04
   185   0.533475E+04   0.759107E+00  -0.314493E+02   0.304907E+07   0.283548E+04
   186   0.535495E+04   0.749638E+00  -0.305468E+02   0.303305E+07   0.281177E+04
   187   0.537499E+04   0.740549E+00  -0.296177E+02   0.301716E+07   0.278834E+04
   188   0.539449E+04   0.731825E+00  -0.286635E+02   0.300139E+07   0.276518E+04
   189   0.541338E+04   0.723502E+00  -0.276827E+02   0.298576E+07   0.274228E+04
   190   0.543210E+04   0.715635E+00  -0.266775E+02   0.297024E+07   0.271963E+04
   191   0.544991E+04   0.708244E+00  -0.256449E+02   0.295485E+07   0.269721E+04
   192   0.546734E+04   0.701354E+00  -0.245873E+02   0.293958E+07   0.267503E+04
   193   0.548415E+04   0.695009E+00  -0.235060E+02   0.292443E+07   0.265307E+04
   194   0.550058E+04   0.689238E+00  -0.223989E+02   0.290940E+07   0.263132E+04
   195   0.551641E+04   0.684081E+00  -0.212682E+02   0.289449E+07   0.260977E+04
   196   0.553162E+04   0.679573E+00  -0.201131E+02   0.287969E+07   0.258841E+04
   197   0.554637E+04   0.675761E+00  -0.189352E+02   0.286501E+07   0.256724E+04
   198   0.556059E+04   0.672667E+00  -0.177336E+02   0.285044E+07   0.254624E+04
   199   0.557428E+04   0.670328E+00  -0.165093E+02   0.283599E+07   0.252541E+04
   200   0.558744E+04   0.668774E+00  -0.152628E+02   0.282164E+07   0.250474E+04
   201   0.560000E+04   0.668066E+00  -0.139934E+02   0.280741E+07   0.248421E+04
   202   0.561202E+04   0.668211E+00  -0.127027E+02   0.279329E+07   0.246383E+04
   203   0.562344E+04   0.669271E+00  -0.113899E+02   0.277927E+07   0.244359E+04
   204   0.563417E+04   0.671266E+00  -0.100581E+02   0.276537E+07   0.242350E+04
   205   0.564438E+04   0.674244E+00  -0.870489E+01   0.275157E+07   0.240356E+04
   206   0.565391E+04   0.678242E+00  -0.733168E+01   0.273787E+07   0.238376E+04
   207   0.566290E+04   0.683283E+00  -0.593889E+01   0.272428E+07   0.236410E+04
   208   0.567114E+04   0.689420E+00  -0.452706E+01   0.271080E+07   0.234458E+04
   209   0.567878E+04   0.696676E+00  -0.309657E+01   0.269741E+07   0.232521E+04
   210   0.568581E+04   0.705103E+00  -0.164834E+01   0.268413E+07   0.230598E+04
