#    L    TT             EE             BB             TE             PP             TP             EP          
    82   0.225092E+04   0.515854E+00   0.000000E+00  -0.122575E+02   0.121576E-06   0.479083E-03  -0.111061E-05
    83   0.227915E+04   0.531983E+00   0.000000E+00  -0.128609E+02   0.120851E-06   0.472304E-03  -0.114325E-05
    84   0.230770E+04   0.548206E+00   0.000000E+00  -0.134712E+02   0.120127E-06   0.465738E-03  -0.116320E-05
    85   0.233642E+04   0.564492E+00   0.000000E+00  -0.140899E+02   0.119405E-06   0.459372E-03  -0.117185E-05
    86   0.236537E+04   0.580847E+00   0.000000E+00  -0.147160E+02   0.118685E-06   0.453189E-03  -0.117058E-05
    87   0.239479E+04   0.597232E+00   0.000000E+00  -0.153487E+02   0.117966E-06   0.447176E-03  -0.116079E-05
    88   0.242422E+04   0.613652E+00   0.000000E+00  -0.159879E+02   0.117250E-06   0.441316E-03  -0.114385E-05
    89   0.245403E+04   0.630084E+00   0.000000E+00  -0.166348E+02   0.116537E-06   0.435597E-03  -0.112115E-05
    90   0.248406E+04   0.646480E+00   0.000000E+00  -0.172863E+02   0.115826E-06   0.430002E-03  -0.109407E-05
    91   0.251425E+04   0.662826E+00   0.000000E+00  -0.179432E+02   0.115119E-06   0.424519E-03  -0.106383E-05
    92   0.254473E+04   0.679109E+00   0.000000E+00  -0.186047E+02   0.114414E-06   0.419143E-03  -0.103099E-05
    93   0.257552E+04   0.695323E+00   0.000000E+00  -0.192709E+02   0.113713E-06   0.413873E-03  -0.995959E-06
    94   0.260638E+04   0.711435E+00   0.000000E+00  -0.199402E+02   0.113015E-06   0.408704E-03  -0.959146E-06
    95   0.263754E+04   0.727447E+00   0.000000E+00  -0.206137E+02   0.112320E-06   0.403636E-03  -0.920952E-06
    96   0.266871E+04   0.743347E+00   0.000000E+00  -0.212905E+02   0.111629E-06   0.398664E-03  -0.881781E-06
    97   0.270033E+04   0.759124E+00   0.000000E+00  -0.219699E+02   0.110941E-06   0.393787E-03  -0.842039E-06
    98   0.273218E+04   0.774773E+00   0.000000E+00  -0.226499E+02   0.110257E-06   0.389002E-03  -0.802128E-06
    99   0.276412E+04   0.790260E+00   0.000000E+00  -0.233335E+02   0.109576E-06   0.384307E-03  -0.762453E-06
   100   0.279636E+04   0.805588E+00   0.000000E+00  -0.240162E+02   0.108899E-06   0.379699E-03  -0.723415E-06
   101   0.282876E+04   0.820819E+00   0.000000E+00  -0.247010E+02   0.108226E-06   0.375175E-03  -0.685419E-06
   102   0.286170E+04   0.835807E+00   0.000000E+00  -0.253860E+02   0.107556E-06   0.370733E-03  -0.648866E-06
   103   0.289457E+04   0.850630E+00   0.000000E+00  -0.260717E+02   0.106890E-06   0.366371E-03  -0.614161E-06
   104   0.292768E+04   0.865291E+00   0.000000E+00  -0.267554E+02   0.106227E-06   0.362085E-03  -0.581705E-06
   105   0.296095E+04   0.879718E+00   0.000000E+00  -0.274385E+02   0.105569E-06   0.357874E-03  -0.551900E-06
   106   0.299446E+04   0.893989E+00   0.000000E+00  -0.281204E+02   0.104915E-06   0.353735E-03  -0.525148E-06
   107   0.302791E+04   0.907957E+00   0.000000E+00  -0.287997E+02   0.104264E-06   0.349666E-03  -0.501852E-06
   108   0.306176E+04   0.921701E+00   0.000000E+00  -0.294771E+02   0.103618E-06   0.345663E-03  -0.482413E-06
   109   0.309577E+04   0.935149E+00   0.000000E+00  -0.301513E+02   0.102976E-06   0.341725E-03  -0.467233E-06
   110   0.312987E+04   0.948303E+00   0.000000E+00  -0.308209E+02   0.102338E-06   0.337849E-03  -0.456714E-06
   111   0.316414E+04   0.961240E+00   0.000000E+00  -0.314872E+02   0.101704E-06   0.334033E-03  -0.451116E-06
   112   0.319858E+04   0.973885E+00   0.000000E+00  -0.321496E+02   0.101075E-06   0.330276E-03  -0.450143E-06
   113   0.323327E+04   0.986235E+00   0.000000E+00  -0.328065E+02   0.100450E-06   0.326578E-03  -0.453356E-06
   114   0.326804E+04   0.998215E+00   0.000000E+00  -0.334570E+02   0.998288E-07   0.322938E-03  -0.460319E-06
   115   0.330306E+04   0.100997E+01   0.000000E+00  -0.341010E+02   0.992121E-07   0.319356E-03  -0.470594E-06
