#    L    TT             EE             BB             TE          
   133   0.395153E+04   0.115535E+01   0.610414E-02  -0.437857E+02
   134   0.398763E+04   0.115879E+01   0.620154E-02  -0.441862E+02
   135   0.402374E+04   0.116168E+01   0.629991E-02  -0.445698E+02
   136   0.405970E+04   0.116402E+01   0.639926E-02  -0.449328E+02
   137   0.409566E+04   0.116588E+01   0.649959E-02  -0.452773E+02
   138   0.413155E+04   0.116719E+01   0.660091E-02  -0.456019E+02
   139   0.416722E+04   0.116810E+01   0.670323E-02  -0.459058E+02
   140   0.420296E+04   0.116839E+01   0.680655E-02  -0.461898E+02
   141   0.423847E+04   0.116813E+01   0.691090E-02  -0.464518E+02
   142   0.427399E+04   0.116739E+01   0.701626E-02  -0.466923E+02
   143   0.430943E+04   0.116618E+01   0.712266E-02  -0.469115E+02
   144   0.434466E+04   0.116442E+01   0.723009E-02  -0.471086E+02
   145   0.437973E+04   0.116226E+01   0.733857E-02  -0.472828E+02
   146   0.441488E+04   0.115947E+01   0.744810E-02  -0.474342E+02
   147   0.444965E+04   0.115629E+01   0.755869E-02  -0.475613E+02
   148   0.448428E+04   0.115255E+01   0.767035E-02  -0.476656E+02
   149   0.451883E+04   0.114834E+01   0.778309E-02  -0.477456E+02
   150   0.455309E+04   0.114374E+01   0.789690E-02  -0.477991E+02
   151   0.458720E+04   0.113865E+01   0.801180E-02  -0.478290E+02
   152   0.462101E+04   0.113303E+01   0.812779E-02  -0.478339E+02
   153   0.465467E+04   0.112700E+01   0.824488E-02  -0.478115E+02
   154   0.468809E+04   0.112058E+01   0.836307E-02  -0.477641E+02
   155   0.472129E+04   0.111377E+01   0.848237E-02  -0.476907E+02
   156   0.475411E+04   0.110656E+01   0.860277E-02  -0.475915E+02
   157   0.478685E+04   0.109896E+01   0.872430E-02  -0.474650E+02
   158   0.481927E+04   0.109105E+01   0.884694E-02  -0.473117E+02
   159   0.485138E+04   0.108268E+01   0.897070E-02  -0.471318E+02
   160   0.488325E+04   0.107399E+01   0.909558E-02  -0.469237E+02
   161   0.491488E+04   0.106507E+01   0.922159E-02  -0.466889E+02
   162   0.494620E+04   0.105577E+01   0.934873E-02  -0.464274E+02
   163   0.497734E+04   0.104616E+01   0.947699E-02  -0.461376E+02
   164   0.500801E+04   0.103631E+01   0.960638E-02  -0.458210E+02
   165   0.503851E+04   0.102616E+01   0.973690E-02  -0.454754E+02
   166   0.506869E+04   0.101586E+01   0.986854E-02  -0.451022E+02
   167   0.509861E+04   0.100518E+01   0.100013E-01  -0.447022E+02
   168   0.512806E+04   0.994504E+00   0.101352E-01  -0.442730E+02
   169   0.515717E+04   0.983525E+00   0.102702E-01  -0.438148E+02
   170   0.518596E+04   0.972472E+00   0.104063E-01  -0.433289E+02
   171   0.521426E+04   0.961346E+00   0.105436E-01  -0.428131E+02
   172   0.524215E+04   0.950074E+00   0.106819E-01  -0.422689E+02
