#    L    TT             EE             BB             TE             PP             TP             EP          
   103   0.277483E+04   0.815065E+00   0.000000E+00  -0.249820E+02   0.107165E-06   0.375487E-03  -0.244951E-06
   104   0.280650E+04   0.829108E+00   0.000000E+00  -0.256357E+02   0.106504E-06   0.370976E-03  -0.200441E-06
   105   0.283832E+04   0.842924E+00   0.000000E+00  -0.262888E+02   0.105846E-06   0.366532E-03  -0.163400E-06
   106   0.287037E+04   0.856592E+00   0.000000E+00  -0.269406E+02   0.105192E-06   0.362155E-03  -0.134347E-06
   107   0.290236E+04   0.869967E+00   0.000000E+00  -0.275899E+02   0.104542E-06   0.357843E-03  -0.113798E-06
   108   0.293473E+04   0.883125E+00   0.000000E+00  -0.282375E+02   0.103897E-06   0.353597E-03  -0.102271E-06
   109   0.296725E+04   0.895995E+00   0.000000E+00  -0.288820E+02   0.103255E-06   0.349414E-03  -0.100281E-06
   110   0.299986E+04   0.908582E+00   0.000000E+00  -0.295220E+02   0.102618E-06   0.345293E-03  -0.108346E-06
   111   0.303264E+04   0.920961E+00   0.000000E+00  -0.301590E+02   0.101985E-06   0.341235E-03  -0.126713E-06
   112   0.306557E+04   0.933057E+00   0.000000E+00  -0.307924E+02   0.101356E-06   0.337239E-03  -0.154551E-06
   113   0.309874E+04   0.944870E+00   0.000000E+00  -0.314204E+02   0.100731E-06   0.333306E-03  -0.190760E-06
   114   0.313199E+04   0.956324E+00   0.000000E+00  -0.320424E+02   0.100111E-06   0.329434E-03  -0.234242E-06
   115   0.316547E+04   0.967565E+00   0.000000E+00  -0.326582E+02   0.994947E-07   0.325624E-03  -0.283899E-06
   116   0.319897E+04   0.978370E+00   0.000000E+00  -0.332670E+02   0.988829E-07   0.321877E-03  -0.338632E-06
   117   0.323277E+04   0.988811E+00   0.000000E+00  -0.338681E+02   0.982754E-07   0.318193E-03  -0.397345E-06
   118   0.326673E+04   0.999036E+00   0.000000E+00  -0.344620E+02   0.976721E-07   0.314571E-03  -0.458941E-06
   119   0.330070E+04   0.100890E+01   0.000000E+00  -0.350465E+02   0.970731E-07   0.311011E-03  -0.522324E-06
   120   0.333482E+04   0.101824E+01   0.000000E+00  -0.356216E+02   0.964784E-07   0.307514E-03  -0.586398E-06
   121   0.336895E+04   0.102736E+01   0.000000E+00  -0.361870E+02   0.958879E-07   0.304081E-03  -0.650069E-06
   122   0.340316E+04   0.103597E+01   0.000000E+00  -0.367421E+02   0.953018E-07   0.300710E-03  -0.712240E-06
   123   0.343745E+04   0.104412E+01   0.000000E+00  -0.372868E+02   0.947199E-07   0.297402E-03  -0.771819E-06
   124   0.347182E+04   0.105191E+01   0.000000E+00  -0.378180E+02   0.941424E-07   0.294157E-03  -0.827711E-06
   125   0.350620E+04   0.105925E+01   0.000000E+00  -0.383378E+02   0.935691E-07   0.290976E-03  -0.878822E-06
   126   0.354066E+04   0.106621E+01   0.000000E+00  -0.388455E+02   0.930001E-07   0.287858E-03  -0.924060E-06
   127   0.357512E+04   0.107264E+01   0.000000E+00  -0.393402E+02   0.924354E-07   0.284803E-03  -0.962331E-06
   128   0.360958E+04   0.107870E+01   0.000000E+00  -0.398212E+02   0.918750E-07   0.281812E-03  -0.992544E-06
   129   0.364412E+04   0.108423E+01   0.000000E+00  -0.402876E+02   0.913190E-07   0.278885E-03  -0.101361E-05
   130   0.367866E+04   0.108923E+01   0.000000E+00  -0.407385E+02   0.907672E-07   0.276021E-03  -0.102442E-05
   131   0.371321E+04   0.109385E+01   0.000000E+00  -0.411755E+02   0.902198E-07   0.273221E-03  -0.102424E-05
   132   0.374783E+04   0.109794E+01   0.000000E+00  -0.415956E+02   0.896767E-07   0.270482E-03  -0.101364E-05
   133   0.378238E+04   0.110157E+01   0.000000E+00  -0.420010E+02   0.891378E-07   0.267802E-03  -0.993534E-06
   134   0.381694E+04   0.110474E+01   0.000000E+00  -0.423872E+02   0.886032E-07   0.265179E-03  -0.964836E-06
   135   0.385150E+04   0.110739E+01   0.000000E+00  -0.427573E+02   0.880728E-07   0.262609E-03  -0.928460E-06
   136   0.388591E+04   0.110950E+01   0.000000E+00  -0.431076E+02   0.875466E-07   0.260090E-03  -0.885319E-06
   137   0.392033E+04   0.111115E+01   0.000000E+00  -0.434402E+02   0.870245E-07   0.257621E-03  -0.836326E-06
   138   0.395468E+04   0.111228E+01   0.000000E+00  -0.437538E+02   0.865065E-07   0.255197E-03  -0.782394E-06
   139   0.398881E+04   0.111302E+01   0.000000E+00  -0.440476E+02   0.859927E-07   0.252817E-03  -0.724435E-06
   140   0.402303E+04   0.111315E+01   0.000000E+00  -0.443224E+02   0.854829E-07   0.250478E-03  -0.663361E-06
   141   0.405702E+04   0.111276E+01   0.000000E+00  -0.445759E+02   0.849771E-07   0.248177E-03  -0.600082E-06
   142   0.409102E+04   0.111190E+01   0.000000E+00  -0.448089E+02   0.844754E-07   0.245913E-03  -0.535512E-06
   143   0.412496E+04   0.111059E+01   0.000000E+00  -0.450215E+02   0.839776E-07   0.243682E-03  -0.470560E-06
   144   0.415868E+04   0.110875E+01   0.000000E+00  -0.452129E+02   0.834838E-07   0.241482E-03  -0.406138E-06
   145   0.419226E+04   0.110652E+01   0.000000E+00  -0.453823E+02   0.829939E-07   0.239310E-03  -0.343156E-06
   146   0.422592E+04   0.110368E+01   0.000000E+00  -0.455299E+02   0.825079E-07   0.237165E-03  -0.282524E-06
   147   0.425922E+04   0.110047E+01   0.000000E+00  -0.456541E+02   0.820258E-07   0.235043E-03  -0.225152E-06
   148   0.429238E+04   0.109672E+01   0.000000E+00  -0.457564E+02   0.815475E-07   0.232941E-03  -0.171951E-06
   149   0.432548E+04   0.109251E+01   0.000000E+00  -0.458354E+02   0.810730E-07   0.230859E-03  -0.123829E-06
   150   0.435829E+04   0.108792E+01   0.000000E+00  -0.458889E+02   0.806024E-07   0.228792E-03  -0.816964E-07
   151   0.439096E+04   0.108287E+01   0.000000E+00  -0.459198E+02   0.801355E-07   0.226739E-03  -0.462440E-07
   152   0.442334E+04   0.107729E+01   0.000000E+00  -0.459266E+02   0.796723E-07   0.224699E-03  -0.172910E-07
   153   0.445558E+04   0.107132E+01   0.000000E+00  -0.459072E+02   0.792129E-07   0.222674E-03   0.556135E-08
   154   0.448760E+04   0.106498E+01   0.000000E+00  -0.458636E+02   0.787572E-07   0.220663E-03   0.227117E-07
   155   0.451941E+04   0.105825E+01   0.000000E+00  -0.457952E+02   0.783051E-07   0.218667E-03   0.345584E-07
   156   0.455085E+04   0.105114E+01   0.000000E+00  -0.457020E+02   0.778567E-07   0.216686E-03   0.415000E-07
   157   0.458221E+04   0.104365E+01   0.000000E+00  -0.455824E+02   0.774118E-07   0.214721E-03   0.439345E-07
   158   0.461328E+04   0.103586E+01   0.000000E+00  -0.454372E+02   0.769706E-07   0.212771E-03   0.422602E-07
   159   0.464405E+04   0.102762E+01   0.000000E+00  -0.452663E+02   0.765330E-07   0.210838E-03   0.368750E-07
   160   0.467459E+04   0.101907E+01   0.000000E+00  -0.450684E+02   0.760989E-07   0.208922E-03   0.281768E-07
   161   0.470491E+04   0.101029E+01   0.000000E+00  -0.448447E+02   0.756683E-07   0.207023E-03   0.165633E-07
   162   0.473493E+04   0.100114E+01   0.000000E+00  -0.445954E+02   0.752412E-07   0.205141E-03   0.243234E-08
   163   0.476479E+04   0.991683E+00   0.000000E+00  -0.443189E+02   0.748176E-07   0.203276E-03  -0.138187E-07
   164   0.479419E+04   0.982003E+00   0.000000E+00  -0.440167E+02   0.743975E-07   0.201430E-03  -0.317922E-07
   165   0.482344E+04   0.972023E+00   0.000000E+00  -0.436865E+02   0.739807E-07   0.199602E-03  -0.510908E-07
   166   0.485238E+04   0.961892E+00   0.000000E+00  -0.433299E+02   0.735674E-07   0.197794E-03  -0.713174E-07
   167   0.488109E+04   0.951388E+00   0.000000E+00  -0.429475E+02   0.731575E-07   0.196004E-03  -0.920746E-07
   168   0.490933E+04   0.940884E+00   0.000000E+00  -0.425372E+02   0.727509E-07   0.194234E-03  -0.112965E-06
   169   0.493726E+04   0.930083E+00   0.000000E+00  -0.420988E+02   0.723477E-07   0.192484E-03  -0.133593E-06
   170   0.496488E+04   0.919209E+00   0.000000E+00  -0.416339E+02   0.719477E-07   0.190755E-03  -0.153560E-06
   171   0.499203E+04   0.908261E+00   0.000000E+00  -0.411402E+02   0.715511E-07   0.189046E-03  -0.172469E-06
   172   0.501879E+04   0.897168E+00   0.000000E+00  -0.406193E+02   0.711577E-07   0.187358E-03  -0.189925E-06
   173   0.504509E+04   0.885929E+00   0.000000E+00  -0.400710E+02   0.707676E-07   0.185691E-03  -0.205530E-06
   174   0.507106E+04   0.874842E+00   0.000000E+00  -0.394954E+02   0.703807E-07   0.184047E-03  -0.218888E-06
   175   0.509664E+04   0.863611E+00   0.000000E+00  -0.388917E+02   0.699969E-07   0.182424E-03  -0.229601E-06
   176   0.512168E+04   0.852459E+00   0.000000E+00  -0.382599E+02   0.696164E-07   0.180824E-03  -0.237366E-06
   177   0.514632E+04   0.841313E+00   0.000000E+00  -0.376016E+02   0.692390E-07   0.179246E-03  -0.242244E-06
   178   0.517048E+04   0.830395E+00   0.000000E+00  -0.369151E+02   0.688647E-07   0.177690E-03  -0.244389E-06
   179   0.519418E+04   0.819410E+00   0.000000E+00  -0.362005E+02   0.684935E-07   0.176154E-03  -0.243953E-06
   180   0.521756E+04   0.808580E+00   0.000000E+00  -0.354594E+02   0.681253E-07   0.174638E-03  -0.241090E-06
   181   0.524040E+04   0.797906E+00   0.000000E+00  -0.346916E+02   0.677602E-07   0.173143E-03  -0.235953E-06
   182   0.526276E+04   0.787462E+00   0.000000E+00  -0.338958E+02   0.673981E-07   0.171667E-03  -0.228696E-06
   183   0.528459E+04   0.777176E+00   0.000000E+00  -0.330735E+02   0.670389E-07   0.170209E-03  -0.219472E-06
   184   0.530602E+04   0.767121E+00   0.000000E+00  -0.322238E+02   0.666827E-07   0.168769E-03  -0.208433E-06
   185   0.532699E+04   0.757446E+00   0.000000E+00  -0.313490E+02   0.663294E-07   0.167347E-03  -0.195734E-06
   186   0.534712E+04   0.748011E+00   0.000000E+00  -0.304461E+02   0.659789E-07   0.165943E-03  -0.181527E-06
   187   0.536709E+04   0.738957E+00   0.000000E+00  -0.295168E+02   0.656313E-07   0.164554E-03  -0.165965E-06
   188   0.538651E+04   0.730271E+00   0.000000E+00  -0.285623E+02   0.652865E-07   0.163182E-03  -0.149201E-06
   189   0.540533E+04   0.721989E+00   0.000000E+00  -0.275813E+02   0.649445E-07   0.161825E-03  -0.131389E-06
   190   0.542398E+04   0.714164E+00   0.000000E+00  -0.265760E+02   0.646053E-07   0.160482E-03  -0.112681E-06
   191   0.544172E+04   0.706819E+00   0.000000E+00  -0.255434E+02   0.642688E-07   0.159154E-03  -0.932300E-07
   192   0.545907E+04   0.699976E+00   0.000000E+00  -0.244857E+02   0.639350E-07   0.157840E-03  -0.731894E-07
