#    L    TT             EE             BB             TE          
   147   0.426016E+04   0.110653E+01   0.733044E-02  -0.455151E+02
   148   0.429324E+04   0.110292E+01   0.743865E-02  -0.456141E+02
   149   0.432626E+04   0.109886E+01   0.754791E-02  -0.456897E+02
   150   0.435898E+04   0.109441E+01   0.765821E-02  -0.457398E+02
   151   0.439156E+04   0.108952E+01   0.776956E-02  -0.457673E+02
   152   0.442385E+04   0.108410E+01   0.788197E-02  -0.457708E+02
   153   0.445600E+04   0.107830E+01   0.799544E-02  -0.457481E+02
   154   0.448793E+04   0.107212E+01   0.810998E-02  -0.457012E+02
   155   0.451964E+04   0.106557E+01   0.822560E-02  -0.456295E+02
   156   0.455098E+04   0.105865E+01   0.834229E-02  -0.455331E+02
   157   0.458224E+04   0.105135E+01   0.846006E-02  -0.454103E+02
   158   0.461321E+04   0.104375E+01   0.857892E-02  -0.452619E+02
   159   0.464387E+04   0.103571E+01   0.869886E-02  -0.450879E+02
   160   0.467431E+04   0.102736E+01   0.881989E-02  -0.448868E+02
   161   0.470451E+04   0.101880E+01   0.894201E-02  -0.446601E+02
   162   0.473441E+04   0.100987E+01   0.906523E-02  -0.444078E+02
   163   0.476416E+04   0.100064E+01   0.918954E-02  -0.441283E+02
   164   0.479344E+04   0.991192E+00   0.931494E-02  -0.438232E+02
   165   0.482257E+04   0.981451E+00   0.944143E-02  -0.434903E+02
   166   0.485139E+04   0.971567E+00   0.956902E-02  -0.431309E+02
   167   0.487997E+04   0.961316E+00   0.969769E-02  -0.427458E+02
   168   0.490808E+04   0.951072E+00   0.982746E-02  -0.423329E+02
   169   0.493588E+04   0.940538E+00   0.995831E-02  -0.418920E+02
   170   0.496337E+04   0.929937E+00   0.100902E-01  -0.414247E+02
   171   0.499039E+04   0.919271E+00   0.102233E-01  -0.409286E+02
   172   0.501701E+04   0.908466E+00   0.103574E-01  -0.404054E+02
   173   0.504317E+04   0.897522E+00   0.104925E-01  -0.398550E+02
   174   0.506901E+04   0.886738E+00   0.106287E-01  -0.392773E+02
   175   0.509444E+04   0.875817E+00   0.107660E-01  -0.386717E+02
   176   0.511933E+04   0.864982E+00   0.109044E-01  -0.380381E+02
   177   0.514383E+04   0.854160E+00   0.110438E-01  -0.373780E+02
   178   0.516785E+04   0.843575E+00   0.111842E-01  -0.366899E+02
   179   0.519140E+04   0.832928E+00   0.113257E-01  -0.359739E+02
   180   0.521462E+04   0.822445E+00   0.114682E-01  -0.352314E+02
   181   0.523731E+04   0.812125E+00   0.116117E-01  -0.344624E+02
   182   0.525952E+04   0.802042E+00   0.117562E-01  -0.336655E+02
   183   0.528119E+04   0.792124E+00   0.119018E-01  -0.328422E+02
   184   0.530247E+04   0.782445E+00   0.120483E-01  -0.319917E+02
   185   0.532329E+04   0.773153E+00   0.121958E-01  -0.311163E+02
   186   0.534326E+04   0.764108E+00   0.123443E-01  -0.302130E+02
   187   0.536306E+04   0.755451E+00   0.124937E-01  -0.292832E+02
   188   0.538233E+04   0.747169E+00   0.126442E-01  -0.283286E+02
   189   0.540098E+04   0.739298E+00   0.127955E-01  -0.273476E+02
   190   0.541947E+04   0.731891E+00   0.129478E-01  -0.263425E+02
