#    L    TT             EE             BB             TE          
   123   0.343964E+04   0.104795E+01   0.502677E-02  -0.372219E+02
   124   0.347399E+04   0.105580E+01   0.511229E-02  -0.377504E+02
   125   0.350833E+04   0.106320E+01   0.519867E-02  -0.382676E+02
   126   0.354276E+04   0.107023E+01   0.528592E-02  -0.387726E+02
   127   0.357718E+04   0.107674E+01   0.537404E-02  -0.392646E+02
   128   0.361161E+04   0.108286E+01   0.546305E-02  -0.397428E+02
   129   0.364611E+04   0.108847E+01   0.555294E-02  -0.402063E+02
   130   0.368061E+04   0.109354E+01   0.564373E-02  -0.406544E+02
   131   0.371512E+04   0.109824E+01   0.573542E-02  -0.410884E+02
   132   0.374970E+04   0.110241E+01   0.582802E-02  -0.415055E+02
   133   0.378420E+04   0.110612E+01   0.592154E-02  -0.419078E+02
   134   0.381871E+04   0.110938E+01   0.601599E-02  -0.422910E+02
   135   0.385322E+04   0.111211E+01   0.611137E-02  -0.426580E+02
   136   0.388758E+04   0.111431E+01   0.620769E-02  -0.430050E+02
   137   0.392194E+04   0.111606E+01   0.630496E-02  -0.433345E+02
   138   0.395623E+04   0.111729E+01   0.640319E-02  -0.436449E+02
   139   0.399031E+04   0.111813E+01   0.650239E-02  -0.439354E+02
   140   0.402446E+04   0.111837E+01   0.660255E-02  -0.442069E+02
   141   0.405839E+04   0.111808E+01   0.670370E-02  -0.444571E+02
   142   0.409233E+04   0.111734E+01   0.680584E-02  -0.446868E+02
   143   0.412620E+04   0.111614E+01   0.690897E-02  -0.448960E+02
   144   0.415985E+04   0.111442E+01   0.701311E-02  -0.450841E+02
   145   0.419335E+04   0.111232E+01   0.711826E-02  -0.452502E+02
   146   0.422694E+04   0.110962E+01   0.722443E-02  -0.453944E+02
   147   0.426016E+04   0.110653E+01   0.733162E-02  -0.455152E+02
   148   0.429324E+04   0.110292E+01   0.743985E-02  -0.456141E+02
   149   0.432626E+04   0.109886E+01   0.754912E-02  -0.456898E+02
   150   0.435898E+04   0.109442E+01   0.765944E-02  -0.457398E+02
   151   0.439156E+04   0.108952E+01   0.777080E-02  -0.457674E+02
   152   0.442385E+04   0.108410E+01   0.788323E-02  -0.457709E+02
   153   0.445600E+04   0.107830E+01   0.799672E-02  -0.457481E+02
   154   0.448793E+04   0.107213E+01   0.811128E-02  -0.457012E+02
   155   0.451964E+04   0.106558E+01   0.822691E-02  -0.456296E+02
   156   0.455098E+04   0.105865E+01   0.834362E-02  -0.455331E+02
   157   0.458224E+04   0.105135E+01   0.846141E-02  -0.454103E+02
   158   0.461321E+04   0.104375E+01   0.858028E-02  -0.452619E+02
   159   0.464387E+04   0.103571E+01   0.870024E-02  -0.450879E+02
   160   0.467431E+04   0.102737E+01   0.882129E-02  -0.448868E+02
   161   0.470451E+04   0.101880E+01   0.894343E-02  -0.446601E+02
   162   0.473441E+04   0.100987E+01   0.906666E-02  -0.444078E+02
   163   0.476416E+04   0.100064E+01   0.919099E-02  -0.441284E+02
   164   0.479344E+04   0.991195E+00   0.931640E-02  -0.438233E+02
   165   0.482257E+04   0.981454E+00   0.944292E-02  -0.434903E+02
   166   0.485139E+04   0.971570E+00   0.957052E-02  -0.431309E+02
   167   0.487997E+04   0.961319E+00   0.969921E-02  -0.427459E+02
   168   0.490808E+04   0.951075E+00   0.982900E-02  -0.423329E+02
   169   0.493588E+04   0.940541E+00   0.995987E-02  -0.418920E+02
   170   0.496337E+04   0.929940E+00   0.100918E-01  -0.414247E+02
   171   0.499039E+04   0.919274E+00   0.102249E-01  -0.409287E+02
   172   0.501701E+04   0.908469E+00   0.103590E-01  -0.404055E+02
   173   0.504317E+04   0.897525E+00   0.104941E-01  -0.398551E+02
   174   0.506901E+04   0.886741E+00   0.106304E-01  -0.392774E+02
   175   0.509444E+04   0.875820E+00   0.107677E-01  -0.386718E+02
   176   0.511933E+04   0.864985E+00   0.109061E-01  -0.380382E+02
   177   0.514383E+04   0.854163E+00   0.110455E-01  -0.373781E+02
   178   0.516785E+04   0.843578E+00   0.111859E-01  -0.366900E+02
   179   0.519140E+04   0.832932E+00   0.113274E-01  -0.359739E+02
   180   0.521462E+04   0.822448E+00   0.114699E-01  -0.352314E+02
   181   0.523731E+04   0.812128E+00   0.116135E-01  -0.344625E+02
   182   0.525952E+04   0.802046E+00   0.117580E-01  -0.336656E+02
   183   0.528119E+04   0.792127E+00   0.119036E-01  -0.328423E+02
   184   0.530247E+04   0.782448E+00   0.120501E-01  -0.319918E+02
   185   0.532328E+04   0.773156E+00   0.121977E-01  -0.311164E+02
   186   0.534326E+04   0.764111E+00   0.123462E-01  -0.302131E+02
   187   0.536306E+04   0.755455E+00   0.124956E-01  -0.292833E+02
   188   0.538233E+04   0.747172E+00   0.126461E-01  -0.283287E+02
   189   0.540098E+04   0.739301E+00   0.127975E-01  -0.273477E+02
   190   0.541947E+04   0.731894E+00   0.129498E-01  -0.263425E+02
   191   0.543705E+04   0.724974E+00   0.131030E-01  -0.253103E+02
   192   0.545424E+04   0.718563E+00   0.132572E-01  -0.242531E+02
   193   0.547082E+04   0.712705E+00   0.134122E-01  -0.231726E+02
   194   0.548701E+04   0.707432E+00   0.135682E-01  -0.220665E+02
   195   0.550260E+04   0.702780E+00   0.137250E-01  -0.209371E+02
   196   0.551758E+04   0.698788E+00   0.138828E-01  -0.197835E+02
   197   0.553209E+04   0.695499E+00   0.140413E-01  -0.186073E+02
   198   0.554608E+04   0.692936E+00   0.142008E-01  -0.174079E+02
   199   0.555953E+04   0.691137E+00   0.143610E-01  -0.161858E+02
   200   0.557246E+04   0.690132E+00   0.145221E-01  -0.149419E+02
   201   0.558478E+04   0.689981E+00   0.146840E-01  -0.136754E+02
   202   0.559657E+04   0.690691E+00   0.148467E-01  -0.123879E+02
   203   0.560775E+04   0.692322E+00   0.150102E-01  -0.110785E+02
   204   0.561825E+04   0.694897E+00   0.151745E-01  -0.975040E+01
   205   0.562823E+04   0.698461E+00   0.153396E-01  -0.840126E+01
   206   0.563753E+04   0.703051E+00   0.155053E-01  -0.703239E+01
   207   0.564629E+04   0.708691E+00   0.156719E-01  -0.564425E+01
   208   0.565431E+04   0.715432E+00   0.158391E-01  -0.423737E+01
   209   0.566172E+04   0.723298E+00   0.160071E-01  -0.281216E+01
   210   0.566852E+04   0.732341E+00   0.161758E-01  -0.136950E+01
   211   0.567472E+04   0.742590E+00   0.163452E-01   0.905140E-01
   212   0.568017E+04   0.754077E+00   0.165152E-01   0.156694E+01
   213   0.568509E+04   0.766845E+00   0.166859E-01   0.305980E+01
   214   0.568933E+04   0.780888E+00   0.168572E-01   0.456788E+01
   215   0.569297E+04   0.796399E+00   0.170292E-01   0.609042E+01
   216   0.569593E+04   0.813194E+00   0.172018E-01   0.762792E+01
   217   0.569836E+04   0.831427E+00   0.173749E-01   0.917836E+01
   218   0.570011E+04   0.851100E+00   0.175487E-01   0.107420E+02
   219   0.570126E+04   0.872212E+00   0.177230E-01   0.123196E+02
   220   0.570180E+04   0.894914E+00   0.178979E-01   0.139070E+02
   221   0.570174E+04   0.919129E+00   0.180733E-01   0.155061E+02
   222   0.570108E+04   0.945009E+00   0.182492E-01   0.171156E+02
   223   0.569966E+04   0.972477E+00   0.184256E-01   0.187362E+02
   224   0.569779E+04   0.100154E+01   0.186025E-01   0.203641E+02
   225   0.569525E+04   0.103233E+01   0.187798E-01   0.220023E+02
   226   0.569210E+04   0.106487E+01   0.189576E-01   0.236471E+02
   227   0.568827E+04   0.109914E+01   0.191358E-01   0.252999E+02
   228   0.568391E+04   0.113516E+01   0.193144E-01   0.269593E+02
   229   0.567895E+04   0.117298E+01   0.194933E-01   0.286237E+02
   230   0.567331E+04   0.121262E+01   0.196727E-01   0.302939E+02
   231   0.566700E+04   0.125415E+01   0.198523E-01   0.319691E+02
   232   0.566015E+04   0.129750E+01   0.200323E-01   0.336478E+02
   233   0.565271E+04   0.134288E+01   0.202126E-01   0.353285E+02
   234   0.564451E+04   0.139015E+01   0.203932E-01   0.370120E+02
   235   0.563578E+04   0.143938E+01   0.205740E-01   0.386968E+02
   236   0.562638E+04   0.149057E+01   0.207550E-01   0.403827E+02
   237   0.561638E+04   0.154381E+01   0.209362E-01   0.420685E+02
   238   0.560577E+04   0.159915E+01   0.211176E-01   0.437539E+02
   239   0.559463E+04   0.165646E+01   0.212992E-01   0.454383E+02
   240   0.558274E+04   0.171581E+01   0.214809E-01   0.471195E+02
   241   0.557040E+04   0.177734E+01   0.216627E-01   0.487982E+02
   242   0.555746E+04   0.184092E+01   0.218446E-01   0.504735E+02
   243   0.554391E+04   0.190668E+01   0.220265E-01   0.521441E+02
   244   0.552976E+04   0.197455E+01   0.222085E-01   0.538106E+02
   245   0.551501E+04   0.204461E+01   0.223905E-01   0.554701E+02
   246   0.549974E+04   0.211685E+01   0.225724E-01   0.571241E+02
   247   0.548393E+04   0.219121E+01   0.227544E-01   0.587702E+02
   248   0.546752E+04   0.226806E+01   0.229363E-01   0.604086E+02
   249   0.545066E+04   0.234687E+01   0.231181E-01   0.620384E+02
   250   0.543320E+04   0.242809E+01   0.232998E-01   0.636581E+02
   251   0.541528E+04   0.251142E+01   0.234813E-01   0.652686E+02
   252   0.539669E+04   0.259709E+01   0.236627E-01   0.668682E+02
   253   0.537779E+04   0.268487E+01   0.238439E-01   0.684555E+02
   254   0.535829E+04   0.277506E+01   0.240250E-01   0.700305E+02
   255   0.533827E+04   0.286736E+01   0.242058E-01   0.715933E+02
   256   0.531780E+04   0.296213E+01   0.243863E-01   0.731436E+02
   257   0.529687E+04   0.305894E+01   0.245666E-01   0.746735E+02
   258   0.527541E+04   0.315816E+01   0.247466E-01   0.761956E+02
   259   0.525351E+04   0.325963E+01   0.249263E-01   0.776949E+02
   260   0.523123E+04   0.336335E+01   0.251057E-01   0.791863E+02
   261   0.520842E+04   0.346924E+01   0.252847E-01   0.806475E+02
   262   0.518509E+04   0.357754E+01   0.254633E-01   0.821008E+02
   263   0.516161E+04   0.368801E+01   0.256416E-01   0.835389E+02
   264   0.513752E+04   0.380074E+01   0.258194E-01   0.849541E+02
   265   0.511292E+04   0.391563E+01   0.259969E-01   0.863392E+02
   266   0.508801E+04   0.403292E+01   0.261739E-01   0.877163E+02
   267   0.506258E+04   0.415224E+01   0.263504E-01   0.890633E+02
   268   0.503677E+04   0.427394E+01   0.265265E-01   0.903949E+02
   269   0.501044E+04   0.439774E+01   0.267020E-01   0.917037E+02
   270   0.498389E+04   0.452372E+01   0.268771E-01   0.929897E+02
   271   0.495688E+04   0.465178E+01   0.270516E-01   0.942530E+02
   272   0.492965E+04   0.478223E+01   0.272257E-01   0.954860E+02
   273   0.490198E+04   0.491448E+01   0.273991E-01   0.967037E+02
   274   0.487400E+04   0.504912E+01   0.275721E-01   0.978837E+02
   275   0.484565E+04   0.518562E+01   0.277444E-01   0.990484E+02
   276   0.481707E+04   0.532422E+01   0.279162E-01   0.100175E+03
   277   0.478805E+04   0.546490E+01   0.280873E-01   0.101287E+03
   278   0.475880E+04   0.560759E+01   0.282579E-01   0.102361E+03
   279   0.472926E+04   0.575222E+01   0.284279E-01   0.103405E+03
   280   0.469941E+04   0.589879E+01   0.285972E-01   0.104433E+03
   281   0.466942E+04   0.604737E+01   0.287659E-01   0.105424E+03
   282   0.463898E+04   0.619766E+01   0.289340E-01   0.106384E+03
   283   0.460839E+04   0.634988E+01   0.291014E-01   0.107314E+03
   284   0.457757E+04   0.650397E+01   0.292681E-01   0.108214E+03
   285   0.454654E+04   0.665991E+01   0.294342E-01   0.109084E+03
   286   0.451520E+04   0.681757E+01   0.295996E-01   0.109916E+03
   287   0.448365E+04   0.697693E+01   0.297644E-01   0.110725E+03
   288   0.445194E+04   0.713800E+01   0.299284E-01   0.111496E+03
   289   0.442001E+04   0.730070E+01   0.300917E-01   0.112237E+03
   290   0.438793E+04   0.746489E+01   0.302544E-01   0.112948E+03
   291   0.435571E+04   0.763130E+01   0.304163E-01   0.113614E+03
   292   0.432304E+04   0.779883E+01   0.305776E-01   0.114257E+03
   293   0.429052E+04   0.796709E+01   0.307381E-01   0.114855E+03
   294   0.425770E+04   0.813758E+01   0.308978E-01   0.115430E+03
   295   0.422496E+04   0.830881E+01   0.310569E-01   0.115960E+03
   296   0.419192E+04   0.848226E+01   0.312152E-01   0.116459E+03
   297   0.415881E+04   0.865570E+01   0.313728E-01   0.116928E+03
   298   0.412548E+04   0.883137E+01   0.315297E-01   0.117353E+03
   299   0.409215E+04   0.900851E+01   0.316858E-01   0.117739E+03
   300   0.405867E+04   0.918565E+01   0.318411E-01   0.118088E+03
   301   0.402512E+04   0.936427E+01   0.319957E-01   0.118406E+03
   302   0.399157E+04   0.954362E+01   0.321496E-01   0.118695E+03
   303   0.395795E+04   0.972445E+01   0.323027E-01   0.118938E+03
   304   0.392426E+04   0.990675E+01   0.324550E-01   0.119136E+03
   305   0.389057E+04   0.100890E+02   0.326066E-01   0.119303E+03
   306   0.385681E+04   0.102720E+02   0.327574E-01   0.119434E+03
   307   0.382305E+04   0.104558E+02   0.329074E-01   0.119519E+03
   308   0.378930E+04   0.106417E+02   0.330567E-01   0.119581E+03
   309   0.375562E+04   0.108269E+02   0.332052E-01   0.119591E+03
   310   0.372187E+04   0.110121E+02   0.333530E-01   0.119570E+03
   311   0.368820E+04   0.111994E+02   0.335000E-01   0.119505E+03
   312   0.365460E+04   0.113860E+02   0.336462E-01   0.119410E+03
   313   0.362101E+04   0.115733E+02   0.337916E-01   0.119269E+03
   314   0.358750E+04   0.117613E+02   0.339363E-01   0.119098E+03
   315   0.355407E+04   0.119486E+02   0.340802E-01   0.118883E+03
   316   0.352071E+04   0.121366E+02   0.342234E-01   0.118630E+03
   317   0.348743E+04   0.123237E+02   0.343658E-01   0.118339E+03
   318   0.345424E+04   0.125124E+02   0.345075E-01   0.118011E+03
   319   0.342119E+04   0.127002E+02   0.346484E-01   0.117645E+03
   320   0.338830E+04   0.128881E+02   0.347886E-01   0.117250E+03
   321   0.335548E+04   0.130766E+02   0.349280E-01   0.116809E+03
   322   0.332282E+04   0.132636E+02   0.350668E-01   0.116331E+03
   323   0.329032E+04   0.134505E+02   0.352048E-01   0.115816E+03
   324   0.325796E+04   0.136382E+02   0.353421E-01   0.115255E+03
   325   0.322584E+04   0.138228E+02   0.354787E-01   0.114673E+03
   326   0.319379E+04   0.140089E+02   0.356146E-01   0.114037E+03
   327   0.316198E+04   0.141942E+02   0.357498E-01   0.113372E+03
   328   0.313039E+04   0.143780E+02   0.358843E-01   0.112677E+03
   329   0.309895E+04   0.145617E+02   0.360182E-01   0.111937E+03
   330   0.306774E+04   0.147439E+02   0.361515E-01   0.111160E+03
   331   0.303684E+04   0.149253E+02   0.362841E-01   0.110353E+03
   332   0.300609E+04   0.151066E+02   0.364161E-01   0.109515E+03
   333   0.297557E+04   0.152865E+02   0.365474E-01   0.108641E+03
   334   0.294535E+04   0.154655E+02   0.366782E-01   0.107729E+03
   335   0.291529E+04   0.156422E+02   0.368085E-01   0.106780E+03
   336   0.288553E+04   0.158181E+02   0.369381E-01   0.105801E+03
   337   0.285607E+04   0.159933E+02   0.370673E-01   0.104777E+03
   338   0.282684E+04   0.161661E+02   0.371959E-01   0.103730E+03
   339   0.279799E+04   0.163389E+02   0.373240E-01   0.102647E+03
   340   0.276937E+04   0.165094E+02   0.374517E-01   0.101540E+03
   341   0.274098E+04   0.166777E+02   0.375788E-01   0.100390E+03
