#    L    TT             EE             TE             PP             TP          
   179   0.519408E+04   0.819399E+00  -0.361949E+02   0.316148E+07   0.299291E+04
   180   0.521746E+04   0.808568E+00  -0.354536E+02   0.314468E+07   0.296731E+04
   181   0.524030E+04   0.797893E+00  -0.346857E+02   0.312801E+07   0.294205E+04
   182   0.526267E+04   0.787449E+00  -0.338897E+02   0.311148E+07   0.291711E+04
   183   0.528450E+04   0.777162E+00  -0.330672E+02   0.309509E+07   0.289248E+04
   184   0.530594E+04   0.767106E+00  -0.322173E+02   0.307882E+07   0.286816E+04
   185   0.532692E+04   0.757432E+00  -0.313424E+02   0.306269E+07   0.284413E+04
   186   0.534705E+04   0.747997E+00  -0.304394E+02   0.304668E+07   0.282039E+04
   187   0.536702E+04   0.738944E+00  -0.295098E+02   0.303081E+07   0.279693E+04
   188   0.538645E+04   0.730258E+00  -0.285552E+02   0.301506E+07   0.277373E+04
   189   0.540527E+04   0.721977E+00  -0.275740E+02   0.299943E+07   0.275079E+04
   190   0.542392E+04   0.714153E+00  -0.265685E+02   0.298393E+07   0.272810E+04
   191   0.544167E+04   0.706809E+00  -0.255357E+02   0.296855E+07   0.270564E+04
   192   0.545902E+04   0.699968E+00  -0.244778E+02   0.295329E+07   0.268342E+04
   193   0.547577E+04   0.693675E+00  -0.233964E+02   0.293815E+07   0.266142E+04
   194   0.549213E+04   0.687960E+00  -0.222892E+02   0.292313E+07   0.263963E+04
   195   0.550788E+04   0.682860E+00  -0.211585E+02   0.290823E+07   0.261804E+04
   196   0.552303E+04   0.678413E+00  -0.200034E+02   0.289344E+07   0.259665E+04
   197   0.553771E+04   0.674665E+00  -0.188256E+02   0.287877E+07   0.257544E+04
   198   0.555187E+04   0.671637E+00  -0.176242E+02   0.286422E+07   0.255441E+04
   199   0.556549E+04   0.669368E+00  -0.164000E+02   0.284977E+07   0.253354E+04
   200   0.557858E+04   0.667888E+00  -0.151538E+02   0.283544E+07   0.251282E+04
   201   0.559106E+04   0.667256E+00  -0.138848E+02   0.282121E+07   0.249226E+04
   202   0.560302E+04   0.667481E+00  -0.125945E+02   0.280710E+07   0.247184E+04
   203   0.561437E+04   0.668622E+00  -0.112822E+02   0.279309E+07   0.245157E+04
   204   0.562504E+04   0.670704E+00  -0.995090E+01   0.277919E+07   0.243144E+04
   205   0.563518E+04   0.673770E+00  -0.859834E+01   0.276540E+07   0.241146E+04
   206   0.564464E+04   0.677860E+00  -0.722583E+01   0.275171E+07   0.239162E+04
   207   0.565357E+04   0.682995E+00  -0.583381E+01   0.273813E+07   0.237192E+04
   208   0.566175E+04   0.689229E+00  -0.442282E+01   0.272465E+07   0.235237E+04
   209   0.566932E+04   0.696584E+00  -0.299325E+01   0.271127E+07   0.233296E+04
   210   0.567628E+04   0.705114E+00  -0.154601E+01   0.269799E+07   0.231369E+04
   211   0.568264E+04   0.714848E+00  -0.811640E-01   0.268482E+07   0.229456E+04
   212   0.568825E+04   0.725818E+00   0.140033E+01   0.267175E+07   0.227558E+04
   213   0.569333E+04   0.738068E+00   0.289851E+01   0.265877E+07   0.225673E+04
   214   0.569772E+04   0.751591E+00   0.441216E+01   0.264590E+07   0.223802E+04
   215   0.570151E+04   0.766582E+00   0.594051E+01   0.263312E+07   0.221945E+04
   216   0.570462E+04   0.782856E+00   0.748408E+01   0.262044E+07   0.220101E+04
   217   0.570720E+04   0.800569E+00   0.904084E+01   0.260785E+07   0.218272E+04
   218   0.570910E+04   0.819721E+00   0.106110E+02   0.259536E+07   0.216456E+04
   219   0.571040E+04   0.840314E+00   0.121955E+02   0.258296E+07   0.214654E+04
   220   0.571109E+04   0.862497E+00   0.137899E+02   0.257066E+07   0.212865E+04
   221   0.571117E+04   0.886196E+00   0.153964E+02   0.255845E+07   0.211089E+04
   222   0.571065E+04   0.911561E+00   0.170135E+02   0.254633E+07   0.209328E+04
   223   0.570937E+04   0.938518E+00   0.186419E+02   0.253430E+07   0.207579E+04
   224   0.570764E+04   0.967067E+00   0.202779E+02   0.252237E+07   0.205844E+04
   225   0.570523E+04   0.997359E+00   0.219245E+02   0.251052E+07   0.204122E+04
   226   0.570221E+04   0.102939E+01   0.235778E+02   0.249875E+07   0.202413E+04
   227   0.569851E+04   0.106317E+01   0.252395E+02   0.248708E+07   0.200717E+04
   228   0.569428E+04   0.109869E+01   0.269080E+02   0.247549E+07   0.199035E+04
   229   0.568944E+04   0.113603E+01   0.285818E+02   0.246399E+07   0.197365E+04
   230   0.568393E+04   0.117519E+01   0.302616E+02   0.245257E+07   0.195708E+04
