#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.215952E-01   0.111182E+08   0.110841E+08  -0.737693E+02  -0.596574E+03   0.000000E+00   0.111129E+08   0.111129E+08   0.111129E+08  -0.264135E+00   0.582620E+07   0.582554E+07   0.101882E+02
   0.259142E-01   0.978733E+07   0.974655E+07   0.223267E+02  -0.364642E+03   0.000000E+00   0.978102E+07   0.978102E+07   0.978102E+07  -0.232477E+00   0.512792E+07   0.512726E+07   0.852654E+01
   0.302332E-01   0.862869E+07   0.858358E+07  -0.705587E+02  -0.236152E+03   0.000000E+00   0.862171E+07   0.862171E+07   0.862171E+07  -0.204923E+00   0.452014E+07   0.451949E+07   0.717083E+01
   0.345522E-01   0.764399E+07   0.759727E+07  -0.252275E+02  -0.160151E+03   0.000000E+00   0.763676E+07   0.763676E+07   0.763676E+07  -0.181512E+00   0.400377E+07   0.400315E+07   0.598130E+01
   0.388713E-01   0.682810E+07   0.678251E+07  -0.193402E+02  -0.113024E+03   0.000000E+00   0.682105E+07   0.682105E+07   0.682105E+07  -0.162124E+00   0.357611E+07   0.357554E+07   0.491082E+01
   0.431903E-01   0.616743E+07   0.612528E+07  -0.181961E+02  -0.826888E+02   0.000000E+00   0.616091E+07   0.616091E+07   0.616091E+07  -0.146434E+00   0.323001E+07   0.322950E+07   0.395427E+01
   0.475093E-01   0.563897E+07   0.560189E+07   0.124663E+03  -0.624841E+02   0.000000E+00   0.563324E+07   0.563324E+07   0.563324E+07  -0.133892E+00   0.295336E+07   0.295292E+07   0.312223E+01
   0.518284E-01   0.522256E+07   0.519134E+07   0.970272E+02  -0.486304E+02   0.000000E+00   0.521773E+07   0.521773E+07   0.521773E+07  -0.124016E+00   0.273552E+07   0.273514E+07   0.242790E+01
   0.561474E-01   0.488319E+07   0.485778E+07   0.773132E+02  -0.387478E+02   0.000000E+00   0.487926E+07   0.487926E+07   0.487926E+07  -0.115971E+00   0.255806E+07   0.255774E+07   0.187606E+01
   0.604664E-01   0.459661E+07   0.457626E+07   0.627600E+02  -0.314526E+02   0.000000E+00   0.459346E+07   0.459346E+07   0.459346E+07  -0.109178E+00   0.240822E+07   0.240796E+07   0.146337E+01
   0.647855E-01   0.433952E+07   0.432300E+07   0.516191E+02  -0.258684E+02   0.000000E+00   0.433697E+07   0.433697E+07   0.433697E+07  -0.103082E+00   0.227374E+07   0.227352E+07   0.117613E+01
   0.691045E-01   0.409604E+07   0.408191E+07   0.428256E+02  -0.214613E+02   0.000000E+00   0.409385E+07   0.409385E+07   0.409385E+07  -0.973036E-01   0.214629E+07   0.214608E+07   0.993351E+00
   0.734235E-01   0.385669E+07   0.384355E+07   0.357189E+02  -0.178999E+02   0.000000E+00   0.385466E+07   0.385466E+07   0.385466E+07  -0.916183E-01   0.202088E+07   0.202069E+07   0.889542E+00
   0.777425E-01   0.361891E+07   0.360564E+07   0.298945E+02  -0.149814E+02   0.000000E+00   0.361686E+07   0.361686E+07   0.361686E+07  -0.859662E-01   0.189621E+07   0.189602E+07   0.838195E+00
