#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   106   0.287010E+04  -0.269362E+02   0.362178E-03  -0.269362E+02   0.856718E+00  -0.138898E-06   0.362178E-03  -0.138898E-06   0.105192E-06
   107   0.290208E+04  -0.275856E+02   0.357863E-03  -0.275856E+02   0.870093E+00  -0.119970E-06   0.357863E-03  -0.119970E-06   0.104542E-06
   108   0.293444E+04  -0.282332E+02   0.353613E-03  -0.282332E+02   0.883251E+00  -0.109911E-06   0.353613E-03  -0.109911E-06   0.103897E-06
   109   0.296697E+04  -0.288777E+02   0.349428E-03  -0.288777E+02   0.896122E+00  -0.109196E-06   0.349428E-03  -0.109196E-06   0.103255E-06
   110   0.299958E+04  -0.295178E+02   0.345306E-03  -0.295178E+02   0.908709E+00  -0.118302E-06   0.345306E-03  -0.118302E-06   0.102618E-06
   111   0.303235E+04  -0.301549E+02   0.341247E-03  -0.301549E+02   0.921089E+00  -0.137445E-06   0.341247E-03  -0.137445E-06   0.101985E-06
   112   0.306528E+04  -0.307883E+02   0.337250E-03  -0.307883E+02   0.933186E+00  -0.165808E-06   0.337250E-03  -0.165808E-06   0.101356E-06
   113   0.309844E+04  -0.314164E+02   0.333316E-03  -0.314164E+02   0.944999E+00  -0.202313E-06   0.333316E-03  -0.202313E-06   0.100731E-06
   114   0.313169E+04  -0.320385E+02   0.329444E-03  -0.320385E+02   0.956453E+00  -0.245884E-06   0.329444E-03  -0.245884E-06   0.100111E-06
   115   0.316518E+04  -0.326543E+02   0.325636E-03  -0.326543E+02   0.967695E+00  -0.295444E-06   0.325636E-03  -0.295444E-06   0.994948E-07
   116   0.319867E+04  -0.332633E+02   0.321890E-03  -0.332633E+02   0.978500E+00  -0.349916E-06   0.321890E-03  -0.349916E-06   0.988830E-07
   117   0.323247E+04  -0.338644E+02   0.318207E-03  -0.338644E+02   0.988942E+00  -0.408224E-06   0.318207E-03  -0.408224E-06   0.982754E-07
   118   0.326643E+04  -0.344584E+02   0.314587E-03  -0.344584E+02   0.999168E+00  -0.469289E-06   0.314587E-03  -0.469289E-06   0.976721E-07
   119   0.330039E+04  -0.350430E+02   0.311030E-03  -0.350430E+02   0.100903E+01  -0.532037E-06   0.311030E-03  -0.532037E-06   0.970731E-07
   120   0.333452E+04  -0.356181E+02   0.307536E-03  -0.356181E+02   0.101837E+01  -0.595388E-06   0.307536E-03  -0.595388E-06   0.964784E-07
   121   0.336865E+04  -0.361837E+02   0.304105E-03  -0.361837E+02   0.102749E+01  -0.658268E-06   0.304105E-03  -0.658268E-06   0.958879E-07
   122   0.340286E+04  -0.367388E+02   0.300737E-03  -0.367388E+02   0.103610E+01  -0.719599E-06   0.300737E-03  -0.719599E-06   0.953018E-07
   123   0.343715E+04  -0.372836E+02   0.297432E-03  -0.372836E+02   0.104426E+01  -0.778304E-06   0.297432E-03  -0.778304E-06   0.947199E-07
